Time,yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw
0.474,-4.863716693050417e-06,0.0,0.0,0.0
0.508,-6.087941822946737e-06,-3.5001414052347746e-07,-9.089802277724832e-08,-1.2242251298963202e-06
0.542,-6.23791384886724e-06,-6.533156961660222e-07,-1.980506186904569e-08,-1.4997202592050278e-07
0.5760000000000001,-6.16454357187759e-06,-9.23254748231954e-07,-4.991414068372433e-09,7.337027698964976e-08
0.61,-2.6428167116589188e-05,4.661606131201208e-06,1.0437837810551336e-05,-2.02636235447116e-05
0.644,-2.633125506284159e-05,3.871326811092854e-07,-6.535800125741315e-09,9.691205374759665e-08
0.678,-1.785255643639358e-05,-8.741932205555415e-08,5.481654248346672e-07,8.478698626448012e-06
0.7120000000000001,-7.461950728018519e-06,-1.0626321752041369e-07,6.753359609444715e-07,1.039060570837506e-05
0.746,3.410141966107024e-06,-1.1108173676548265e-07,7.074273833928887e-07,1.0872092694125543e-05
0.78,1.440964737438713e-05,-1.123618019070374e-07,7.159161397250928e-07,1.0999505408280103e-05
0.8140000000000001,2.544323749150132e-05,-1.1271116365924041e-07,7.181830518222358e-07,1.1033590117114189e-05
0.8480000000000001,3.648620692966959e-05,-1.1281410212168193e-07,7.188029296296569e-07,1.1042969438168273e-05
0.882,4.753201512540712e-05,-1.12851798938704e-07,7.189867526501016e-07,1.1045808195737534e-05
0.916,5.857893030422308e-05,-1.1287222123970879e-07,7.190551053829924e-07,1.104691517881596e-05
0.95,6.962649372869987e-05,-1.1288806834805319e-07,7.19092857733214e-07,1.1047563424476783e-05
0.984,8.067458369174693e-05,-1.129027025637708e-07,7.191224797190898e-07,1.1048089963047067e-05
1.018,9.172316773118944e-05,-1.1291701428311177e-07,7.191499224005348e-07,1.1048584039442508e-05
1.052,0.0001027722370346,-1.129312394640442e-07,7.191767637542425e-07,1.1049069303436396e-05
1.086,0.000113821789072,-1.1294544079599149e-07,7.192034238239564e-07,1.1049552037387274e-05
1.12,0.0001248718229967,-1.1295963506848837e-07,7.192300159520498e-07,1.1050033924767398e-05
1.154,0.0001359223384257,-1.1297382689328365e-07,7.192565720429637e-07,1.1050515428991964e-05
1.188,0.0001469733351157,-1.129880176573006e-07,7.192831023410874e-07,1.1050996689982768e-05
1.222,0.0001580248128749,-1.1300220787401061e-07,7.193096111091955e-07,1.1051477759203387e-05
1.256,0.0001690767715397,-1.1301639781576694e-07,7.193361009802934e-07,1.1051958664831045e-05
1.29,0.0001801292109656,-1.1303058766818502e-07,7.193625739052808e-07,1.1052439425856652e-05
1.324,0.0001911821310248,-1.1304477759606529e-07,7.193890316305228e-07,1.1052920059157716e-05
1.358,0.0002022355316036,-1.1305896772343365e-07,7.194154756705415e-07,1.105340057887613e-05
1.392,0.0002132894126018,-1.1307315819081457e-07,7.194419073947384e-07,1.105388099819916e-05
1.4260000000000002,0.0002243437739312,-1.130873491074838e-07,7.19468328095259e-07,1.105436132940675e-05
1.46,0.000235398615514,-1.1310154057492774e-07,7.1949473890503e-07,1.105484158273832e-05
1.494,0.0002465723022173,8.906545265622082e-07,7.27243552588621e-07,1.117368670333163e-05
1.528,0.0002620491204023,0.0004911380623544,1.0091033517538383e-06,1.5476818184967476e-05
1.562,0.0002780182001238,0.0013986325288742,1.0413910730293904e-06,1.5969079721561827e-05
1.596,0.0002973531524216,0.0023072748853523,1.263453060728756e-06,1.933495229780851e-05
1.63,0.0003193000227857,0.0032071697701533,1.4358175628634974e-06,2.194687036404333e-05
1.664,0.0003432065278813,0.0040783654313075,1.5650455230113277e-06,2.390650509563641e-05
1.698,0.0003678826469731,0.0048856530059807,1.615627622445657e-06,2.467611909179584e-05
1.7320000000000002,0.0003943619613139,0.0055796562677396,1.7341845806692922e-06,2.647931434073556e-05
1.766,0.0004237000938341,0.0061071419661615,1.922331663777198e-06,2.9338132520245868e-05
1.8,0.0003952244723002,0.0064248215480142,-1.89116195358526e-06,-2.847562153388065e-05
1.834,0.0002764922467564,0.006509298359266,-7.454457763547517e-06,-0.0001187322255438
1.868,0.0003876357525347,0.0065434052076707,9.737665020732596e-06,0.0001111435057782
1.902,0.0004765031281653,0.0067688280762579,5.853110905659059e-06,8.886737563066103e-05
1.936,0.0003849829496003,0.0071726114783433,3.1188180714000567e-06,-9.152017856508772e-05
1.97,-0.0015353000969007,0.0074698457521754,-1.3731778749362925e-06,-0.001920283046501
2.004,-0.0035835221508615,0.0074261135233147,-1.6582275581594025e-05,-0.0020482220539608
2.038,-0.0061702539612608,0.0071122625013683,-3.4519025435262606e-05,-0.0025867318103992
2.072,-0.0085090423465189,0.0071085358385286,-5.0972664271915806e-05,-0.002338788385258
2.106,-0.0105720283488981,0.0071126415893419,-6.739410915634516e-05,-0.0020629860023791
2.14,-0.0121135724012176,0.0071133790296902,-8.00112603119e-05,-0.0015415440523195
2.174,-0.0136617886436858,0.0071188624480547,-9.12708100047e-05,-0.0015482162424681
2.208,-0.0152030051499397,0.0071852366467139,-0.0001010559843911,-0.0015412165062539
2.242,-0.0174479828116705,0.0074928821338573,-0.000123523501731,-0.0022449776617307
2.276,-0.0192863862493643,0.0075064205800487,-0.0001388804629927,-0.0018384034376937
2.31,-0.0212136701262102,0.0074962903547807,-0.0001486807287005,-0.0019272838768458
2.344,-0.0233718720033188,0.0074217538156827,-0.0001582913458297,-0.0021582018771086
2.378,-0.0255805152908699,0.0074176012377955,-0.000180987513371,-0.002208643287551
2.412,-0.0271399671670146,0.0074675909034873,-0.0001961455201613,-0.0015594518761447
2.446,-0.0286122610813452,0.0074731471907756,-0.0002071697942679,-0.0014722939143305
2.48,-0.0300841377583111,0.0074790618887647,-0.0002182156746983,-0.0014718766769659
2.514,-0.0314188623579853,0.0074836571234835,-0.0002292231968953,-0.0013347245996741
2.548,-0.0326637211350796,0.0074887888922151,-0.0002388578635979,-0.0012448587770943
2.582,-0.0339191750213201,0.0074948411374082,-0.0002485499962894,-0.0012554538862404
2.616,-0.0350349896741843,0.0074994003060986,-0.0002580363009496,-0.0011158146528642
2.65,-0.0360735670342388,0.0075036433586155,-0.0002663118940986,-0.0010385773600544
2.684,-0.0370921795111217,0.0075062786168091,-0.0002749632986316,-0.0010186124768828
2.718,-0.0389459892952908,0.0073719007557431,-0.0002782384398872,-0.0018538097841691
2.752,-0.0415184857781268,0.0071382333547926,-0.0002835021156724,-0.0025724964828359
2.786,-0.0432212672257209,0.0071246772552568,-0.0003042862698734,-0.0017027814475941
2.8200000000000003,-0.0444449248189602,0.0070251176005819,-0.0003011909474299,-0.0012236575932392
2.854,-0.0460105111182663,0.006987237412812,-0.0003156437632292,-0.0015655862993061
2.888,-0.0468365178463623,0.0070477177029865,-0.0003275288698324,-0.0008260067280959
2.922,-0.0487952273435949,0.0072722145751488,-0.0003443061437536,-0.0019587094972326
2.956,-0.0497538750769044,0.0074604256022486,-0.0003683940072004,-0.0009586477333094
2.99,-0.050154224672997,0.0074680275059959,-0.0003723007036187,-0.0004003495960925
3.024,-0.0503623366548632,0.0074725234302365,-0.0003750356900398,-0.0002081119818662
3.058,-0.0505496225867983,0.0074784231955331,-0.0003768290265454,-0.000187285931935
3.092,-0.0507405447013932,0.0074844323739394,-0.0003787227346531,-0.0001909221145949
3.126,-0.0512589563598195,0.0074925737076199,-0.0003818437345793,-0.0005184116584262
3.16,-0.0517794388608873,0.0074961213688499,-0.0003865459585935,-0.0005204825010678
3.194,-0.0522447542703667,0.0074937039443825,-0.0003909883472139,-0.0004653154094793
3.228,-0.0524764445739798,0.0074877834366669,-0.0003893743556017,-0.0002316903036131
3.262,-0.0526371824186451,0.0074674686731791,-0.0003923017124484,-0.0001607378446653
3.2960000000000003,-0.0531936713853942,0.0074281756219862,-0.0003851745676153,-0.0005564889667491
3.33,-0.0542069272309493,0.0073868688197482,-0.0003962284992265,-0.001013255845555
3.364,-0.0543840895978337,0.0074371230239134,-0.0004039677285443,-0.0001771623668844
3.398,-0.0544348711909491,0.0074530501938661,-0.0004046934212994,-5.078159311533437e-05
3.432,-0.0545418620301754,0.0074588645156618,-0.000405651309422,-0.0001069908392262
3.466,-0.0546513616325,0.0074648412810893,-0.0004070064647602,-0.0001094996023245
3.5,-0.0548137062596137,0.0074454951183354,-0.0004072795767466,-0.0001623446271137
3.534,-0.0570921132414796,0.0071137872670364,-0.0003965226240028,-0.0022784069818658
3.568,-0.0571610932512067,0.0070880277298042,-0.0004054803364143,-6.898000972709041e-05
3.6020000000000003,-0.0572398986017525,0.0070933872896002,-0.0004058314058961,-7.880535054582277e-05
3.636,-0.0572997175967719,0.0070965306108271,-0.0004070434109094,-5.98189950193409e-05
3.67,-0.0573038316738889,0.0070945697494607,-0.0004078692260529,-4.114077117069181e-06
3.704,-0.0571681910038971,0.0071027459177024,-0.0004049261449931,0.0001356406699918
3.738,-0.0563470824395902,0.0071651801471295,-0.0004042427255834,0.0008211085643069
3.772,-0.0568146529181168,0.0072455092038036,-0.0003989467463442,-0.0004675704785266
3.806,-0.0589439199795433,0.0072780899031144,-0.0004188289558881,-0.0021292670614264
3.84,-0.0602137031642215,0.0073416907465569,-0.0004372270881186,-0.0012697831846782
3.874,-0.0601552429118536,0.0074435751152003,-0.0004485226631406,5.846025236788677e-05
3.908,-0.059935205385158,0.0074531122845256,-0.000447125125719,0.0002200375266956
3.942,-0.0595842542418339,0.0074575992606331,-0.000445214101524,0.0003509511433241
3.976,-0.059230203083699,0.0074636385843435,-0.0004432817338086,0.0003540511581348
4.01,-0.0587765636957657,0.0074690522551442,-0.000441271098315,0.0004536393879332
4.044,-0.0582101385731248,0.0074740719592995,-0.0004381667203466,0.0005664251226408
4.078,-0.0576361441644202,0.0074798742304647,-0.0004345822834599,0.0005739944087046
4.112,-0.0572210599708694,0.0074854478644731,-0.0004313033401463,0.0004150841935507
4.146,-0.0569115736682227,0.0074855081620095,-0.0004284212798657,0.0003094863026467
4.18,-0.0566691394606803,0.0074853377402024,-0.0004210104714681,0.0002424342075423
4.214,-0.0567753695636306,0.0074327018931634,-0.0004188949046153,-0.0001062301029502
4.248,-0.0565947068031078,0.0071920921443014,-0.000403375541906,0.0001806627605227
4.282,-0.0559936749349035,0.0070428850324475,-0.0003968431744625,0.0006010318682043
4.316,-0.0555451375330473,0.0070514275045256,-0.0003917773958071,0.0004485374018561
4.35,-0.0552004706346141,0.0070548265336844,-0.000390050992289,0.0003446668984332
4.384,-0.054876142346492,0.0070598043196208,-0.0003878965403306,0.0003243282881221
4.418,-0.0556750349411927,0.0072590084572196,-0.0003983312407194,-0.0007988925947007
4.452,-0.0560198781635605,0.0074621798075611,-0.0004187938513149,-0.0003448432223677
4.486,-0.0554706815624675,0.0074691367364148,-0.0004160888239451,0.0005491966010929
4.52,-0.0547737179295353,0.0074742632119014,-0.0004121489564937,0.0006969636329322
4.554,-0.0540344125348164,0.0074797619054116,-0.0004071371581963,0.0007393053947189
4.588,-0.0532908454331739,0.0074849505521046,-0.0004030864948151,0.0007435671016424
4.622,-0.0523418060440389,0.0074844658674606,-0.0003978043285567,0.0009490393891349
4.656,-0.0513345725862788,0.0074830194906785,-0.0003896698887815,0.00100723345776
4.69,-0.0503346998158077,0.0074710620852191,-0.0003796357863175,0.0009998727704711
4.724,-0.0496581198840061,0.0074340400628306,-0.0003646491506846,0.0006765799318015
4.758,-0.0497740501867985,0.0073860048573318,-0.0003653651267212,-0.0001159303027923
4.792,-0.0493420184947706,0.0074271432865977,-0.0003678877830959,0.0004320316920278
