,Time,delta_position_x,delta_position_y,delta_yaw,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw
2,0.291,-0.0003171146015344,-0.0019212076390736,0.0033678093010796,3.142008456762197e-05,0.000392389669303,0.0016140986313011,0.0204208249068199
3,0.325,-0.0001502784978789,-0.0012427873321951,0.0016178904539306,4.008921725985955e-05,0.0005006785144858,0.0002549744909481,0.0031849660347883
4,0.359,-2.827611153100008e-05,-0.000604379432475,0.0002905016766691,1.107865044901005e-05,-0.0001628547747713,-0.0008791080851772,-0.0201070693714307
5,0.393,1.2255969192000388e-06,-8.749095061277856e-05,-1.6867118441706366e-05,2.050400315493496e-05,-0.0001433586783651,0.0003040436356749,0.0006289063356845
6,0.427,-2.1483796800044443e-08,1.399888918118819e-07,2.1361977153048707e-06,1.891233692549806e-05,-0.0001233209052064,-4.547617798391127e-05,0.0005725078045357
7,0.461,-2.102845499942982e-09,8.238627446921498e-09,1.423151048049465e-07,1.4200777786476815e-05,-0.0001659396547499,-0.0001472362230944,-0.0013318359232356
8,0.495,-4.5272999975656814e-11,-5.409903414133055e-09,-6.494540395491495e-08,1.1674558929183153e-05,-0.0001470054681961,-7.430055462628418e-05,0.0005568878398174
9,0.529,1.2362009994219128e-10,-6.1704079623581265e-09,-7.717692216465538e-08,1.0840869779114391e-05,-0.0001378243981081,-2.4520269119669416e-05,0.0002700314731762
10,0.5630000000000001,2.4575399983246812e-11,-5.124356827757026e-09,-6.202787587207549e-08,9.537751193756593e-06,-0.0001211488698568,-3.832701721640581e-05,0.0004904567132738
11,0.5970000000000001,-9.745809996693222e-11,-3.962465355833444e-09,-4.506239729105965e-08,8.928767448953994e-06,-0.0001131814989619,-1.8454052872805997e-05,0.0002414354816642
12,0.631,-1.9864389994017628e-10,-2.968665535618697e-09,-3.0591424993002554e-08,8.109624225998575e-06,-0.0001024675974623,-2.409244773398297e-05,0.0003151147499879
13,0.665,-3.153009000807574e-10,-1.897892176749849e-09,-1.4908057742284156e-08,7.372445612663905e-06,-9.283770255329872e-05,-2.2338745858626345e-05,0.0002918149972435
14,0.6990000000000001,-3.9987559997175376e-10,-1.0805600858532214e-09,-3.0040862670707713e-09,7.1511966486052905e-06,-8.97401100884941e-05,-7.137063356729495e-06,9.992233757434296e-05
15,0.7330000000000001,-4.726039999885383e-10,-3.596748454626208e-10,7.470804560053002e-09,5.781174419347107e-06,-7.223589384111e-05,-3.805617303494952e-05,0.000486228229094
16,0.767,-5.572946000075713e-10,4.1166547948279226e-10,1.87599259841853e-08,6.143628137262069e-06,-7.642990940227526e-05,1.208179059716545e-05,-0.0001398005187055
17,0.801,-6.269656999515275e-10,1.071445376865654e-09,2.8387970671221733e-08,6.02370478923004e-06,-7.460338015243013e-05,-4.282976715429625e-06,6.523318749446877e-05
18,0.8350000000000001,-6.798414000806426e-10,1.5843789613612103e-09,3.583828252304994e-08,3.788323802422887e-06,-4.667086379082179e-05,-5.322335682874168e-05,0.0006650599133716
19,0.8690000000000001,-7.464731999846583e-10,2.1874312361447323e-09,4.467412281165124e-08,4.428294896034139e-06,-5.424042600679342e-05,1.9999096675351616e-05,-0.0002365488192491
20,0.903,-8.020624999664078e-10,2.690334954813522e-09,5.203162564172691e-08,4.0781668514089936e-06,-4.962984562245598e-05,-1.0941501394535836e-05,0.0001440806370105
21,0.937,-8.948745999857315e-10,3.440889573269601e-09,6.315696419231105e-08,3.4460407684940898e-06,-4.162198389586328e-05,-1.7559057858747313e-05,0.0002224406035164
22,0.971,-1.026293399981719e-09,4.440906531399946e-09,7.808291097467086e-08,3.382465628483158e-06,-4.03521257185394e-05,-1.926519394270664e-06,3.84805508279965e-05
23,1.005,-1.1476751000287844e-09,5.358785970521751e-09,9.178747828551133e-08,3.248956201613458e-06,-3.8209533787513085e-05,-4.172169589678113e-06,6.695599784457215e-05
24,1.039,-1.255002000000345e-09,6.176576361482944e-09,1.0399286544393597e-07,2.8555641763253486e-06,-3.307341265753023e-05,-1.1239772151088904e-05,0.0001467463179995
25,1.073,-1.3518740999687515e-09,6.906051730481977e-09,1.1488465348832857e-07,2.836066537379026e-06,-3.232854486282484e-05,-6.093012170725829e-07,2.3277118584543407e-05
