Time,delta_position_x,delta_position_y,delta_yaw
0.438,0.0,0.0,0.0
0.47200000000000003,-3.614926099015925e-07,3.224558953185408e-10,1.1260479341348548e-07
0.506,-7.324753610316037e-07,-4.644746809390199e-10,1.0160737867913063e-07
0.54,-1.0731433249810962e-06,-3.6902642053249224e-10,1.031460625992778e-07
0.5740000000000001,4.2908675090824744e-07,3.5928007463548184e-07,-3.551029753270753e-06
0.608,1.880277745169856e-07,2.4294822598136534e-08,-1.5425277537175922e-07
0.642,-2.9196402517861486e-09,1.712181463275897e-08,2.7151189421329265e-07
0.676,-3.2545522943294714e-09,1.911863811709935e-08,3.0171119496503206e-07
0.7100000000000001,-3.299422901559268e-09,1.943232175172227e-08,3.0645432396882226e-07
0.744,-3.3064846971520012e-09,1.9478010093720854e-08,3.071452365630446e-07
0.778,-3.307511486916326e-09,1.9484727387109047e-08,3.072468433723006e-07
0.812,-3.3076753003236092e-09,1.9485758007142806e-08,3.072624495074207e-07
0.8460000000000001,-3.307712714839539e-09,1.9485957181153424e-08,3.072654861387668e-07
0.88,-3.307731866186714e-09,1.9486033897564425e-08,3.072666865863856e-07
0.914,-3.3077479089094197e-09,1.9486092850407033e-08,3.072676020043417e-07
0.9480000000000001,-3.3077635075429157e-09,1.9486148250535962e-08,3.0726846542872346e-07
0.9820000000000001,-3.3077789951541092e-09,1.9486201985330354e-08,3.072693177329149e-07
1.016,-3.3077944827653027e-09,1.9486255720124745e-08,3.0727016538575256e-07
1.05,-3.307809914865345e-09,1.948630867776302e-08,3.072710017555431e-07
1.084,-3.3078251249207824e-09,1.9486361302334387e-08,3.072718346488815e-07
1.118,-3.307840390487371e-09,1.9486413482816545e-08,3.072726578181912e-07
1.152,-3.3078556005428084e-09,1.9486464775120282e-08,3.072734743261273e-07
1.186,-3.3078708105982457e-09,1.9486515845379415e-08,3.072742821449897e-07
1.22,-3.307885798609078e-09,1.9486566471549338e-08,3.072750910683138e-07
1.254,-3.3079007866199106e-09,1.9486616320563144e-08,3.0727588555339086e-07
1.288,-3.3079156080972894e-09,1.9486665503443135e-08,3.0727667348314996e-07
1.322,-3.3079307071304243e-09,1.9486715130412335e-08,3.0727745985202883e-07
1.356,-3.3079453620743493e-09,1.9486764313292326e-08,3.072782461494553e-07
1.3900000000000001,-3.307960405596333e-09,1.9486812830038502e-08,3.072790401876358e-07
1.424,-3.307975282584863e-09,1.9486862457007703e-08,3.0727980965055553e-07
1.458,-3.3079898265064855e-09,1.948691052966467e-08,3.0728056570891207e-07
1.492,-3.308004592472713e-09,1.9486958158232426e-08,3.0728133908297045e-07
1.526,-3.3080193029277893e-09,1.9487006341911695e-08,3.0728210788174695e-07
1.56,-3.308033902360563e-09,1.9487053748434846e-08,3.0728287015871403e-07
1.594,-3.3080486128156394e-09,1.9487101043935695e-08,3.0728363162651054e-07
1.6280000000000001,-3.308063378781867e-09,1.9487148450458847e-08,3.0728439273628824e-07
1.662,-3.308077811681187e-09,1.9487195745959696e-08,3.0728514912193783e-07
1.6960000000000002,-3.3080925221362634e-09,1.9487242264304427e-08,3.0728590328163486e-07
1.73,-3.3081071770801884e-09,1.948728933776067e-08,3.072866594349214e-07
1.764,-3.3081217765129622e-09,1.94873357450831e-08,3.0728740859677755e-07
1.798,-3.308136320434585e-09,1.9487382485472438e-08,3.0728815763940795e-07
1.832,-3.308150808845056e-09,1.9487428670750262e-08,3.072889033550996e-07
1.866,-3.3081652972555275e-09,1.948747496705039e-08,3.072896485394746e-07
1.9,-3.308180007710604e-09,1.9487521152328213e-08,3.0729039666697905e-07
1.9340000000000002,-3.3081942740764703e-09,1.948756700453913e-08,3.072911336935891e-07
1.968,-3.308208817998093e-09,1.9487612856750047e-08,3.072918756772908e-07
2.002,-3.3082233064085642e-09,1.948765893100557e-08,3.072926179080238e-07
2.036,-3.308237683796733e-09,1.9487704339127276e-08,3.072933561572293e-07
2.07,-3.3082522277183557e-09,1.9487750302360496e-08,3.0729409223258743e-07
2.104,-3.3082667716399783e-09,1.9487795932526808e-08,3.0729483238628715e-07
2.138,-3.308281093516996e-09,1.9487841340648515e-08,3.0729556855284874e-07
2.172,-3.3082954153940136e-09,1.9487886859792525e-08,3.0729630160322514e-07
2.206,-3.3083100148267874e-09,1.948793215689193e-08,3.0729703486102984e-07
2.24,-3.308324281192654e-09,1.9487977565013637e-08,3.0729776878764493e-07
2.274,-3.308338714091974e-09,1.948802286211304e-08,3.0729850030277417e-07
2.308,-3.308353091480143e-09,1.9488068048190144e-08,3.072992320184249e-07
2.342,-3.308367524379463e-09,1.9488113234267246e-08,3.0729996161513287e-07
2.376,-3.308381957278783e-09,1.948815853136665e-08,3.0730069523375493e-07
2.41,-3.3083962236446496e-09,1.9488203384376845e-08,3.07301419184797e-07
2.444,-3.308410712055121e-09,1.948824823738704e-08,3.073021484424445e-07
2.478,-3.30842508944329e-09,1.948829331244184e-08,3.0730287872844586e-07
2.512,-3.3084394113203075e-09,1.9488338498518942e-08,3.073036091212565e-07
2.5460000000000003,-3.308453677686174e-09,1.9488383351529137e-08,3.0730433515813746e-07
2.58,-3.3084682216077965e-09,1.948842809351703e-08,3.0730506218881846e-07
2.614,-3.308482487973663e-09,1.948847316857183e-08,3.073057914359102e-07
2.648,-3.308496865361832e-09,1.9488517910559722e-08,3.0730651726702315e-07
2.682,-3.3085112427500007e-09,1.948856298561452e-08,3.073072465686452e-07
2.716,-3.308525509115867e-09,1.9488607727602414e-08,3.073079697605086e-07
2.75,-3.308539886504036e-09,1.94886521365234e-08,3.073086925726047e-07
2.784,-3.3085542083810537e-09,1.9488697100555896e-08,3.073094230515687e-07
2.818,-3.308568696791525e-09,1.9488742175610696e-08,3.0731014967665807e-07
2.8520000000000003,-3.3085829076462403e-09,1.9488786806576286e-08,3.073108749122239e-07
2.886,-3.3085973960567117e-09,1.9488831548564178e-08,3.07311599254092e-07
2.92,-3.308611606911427e-09,1.9488876179529768e-08,3.0731232327992186e-07
