Time,delta_position_x,delta_position_y,delta_yaw
0.152,0.0,0.0,0.0
0.186,-9.345555644762853e-06,-9.165263597088816e-06,9.045965712939365e-06
0.22,2.947675699074498e-07,2.8825854454794797e-07,-9.755490842033865e-06
0.254,-3.922095116026128e-07,-5.1884142519441e-07,-7.3637600594977926e-06
0.28800000000000003,-7.179146969903639e-07,-7.069695291705459e-07,-7.499680411360288e-06
0.322,-9.425439658566036e-07,-9.183862915260345e-07,-7.928824044212135e-06
0.35600000000000004,-4.836614128159167e-06,9.926227186438442e-06,-1.3895966989085906e-05
0.39,6.843915480890181e-07,6.659985541182523e-08,-8.709969847031653e-06
0.42400000000000004,-3.257944533843916e-07,2.460836145651115e-07,6.1629172812827085e-06
0.458,-5.141639553710528e-07,3.8740096998781206e-07,9.690425947117554e-06
0.49200000000000005,-5.600901473259458e-07,4.2176265030837247e-07,1.0549067363418985e-05
0.526,-5.714875598744097e-07,4.302895586882729e-07,1.0762150377541246e-05
0.56,-5.743372289679881e-07,4.3240813815464615e-07,1.081530161117783e-05
0.5940000000000001,-5.750680765674397e-07,4.329379207313952e-07,1.0828806985885288e-05
0.628,-5.752734514503418e-07,4.330736960429615e-07,1.083248073163734e-05
0.662,-5.753484769504755e-07,4.331117490568273e-07,1.0833716206026802e-05
0.6960000000000001,-5.75391138980634e-07,4.331255518629472e-07,1.0834346806265494e-05
0.7300000000000001,-5.754257394081919e-07,4.331333248648074e-07,1.0834827189998286e-05
0.764,-5.754583080048829e-07,4.331395876736553e-07,1.08352701211345e-05
0.798,-5.754903431250992e-07,4.3314546232077825e-07,1.0835703582068312e-05
0.8320000000000001,-5.755222191967599e-07,4.3315122826405664e-07,1.0836134528902088e-05
0.8660000000000001,-5.755540317181271e-07,4.331569559514782e-07,1.0836564705130058e-05
0.9,-5.755858066914046e-07,4.3316266383703046e-07,1.0836994556506774e-05
0.934,-5.756175527459745e-07,4.3316835745058153e-07,1.0837424207599256e-05
0.9680000000000001,-5.75649273972318e-07,4.3317403901560816e-07,1.083785370259438e-05
1.002,-5.756809730995752e-07,4.3317970981060494e-07,1.083828306236434e-05
1.036,-5.757126524973955e-07,4.3318537092064055e-07,1.0838712304117593e-05
1.07,-5.757443140999955e-07,4.331910231848875e-07,1.0839141439511481e-05
1.104,-5.757759597643797e-07,4.3319666741606536e-07,1.0839570480647431e-05
1.138,-5.758075911329077e-07,4.3320230435706275e-07,1.0839999438960746e-05
1.172,-5.758392096957172e-07,4.332079346566764e-07,1.084042832311116e-05
1.206,-5.758708167768155e-07,4.332135589025354e-07,1.0840857141980464e-05
1.24,-5.759024136143717e-07,4.332191776484587e-07,1.0841285903451235e-05
1.274,-5.75934001302139e-07,4.3322479137799033e-07,1.0841714615517086e-05
1.308,-5.759655808674873e-07,4.3323040056037973e-07,1.0842143282840944e-05
1.342,-5.759972155593152e-07,4.3323608984709677e-07,1.084257344241557e-05
1.376,-5.760287985151838e-07,4.332418145455881e-07,1.0843003394267471e-05
1.4100000000000001,-5.760603244554589e-07,4.332474998892753e-07,1.0843432379004092e-05
1.444,-5.760918374044e-07,4.332531760562804e-07,1.0843861189768766e-05
1.478,-5.761233440415362e-07,4.3325884786695606e-07,1.0844289943690022e-05
1.512,0.00019730147187893153,0.0001991098249397004,-0.00018480869864645477
1.546,0.0007977153401432,0.0007985737488303999,-0.0007661935322516024
1.58,0.0014118783147107003,0.0014095237517336003,-0.0013585681364461923
1.6139999999999999,0.0020247850706492996,0.0020141316830565997,-0.0019504892860313647
1.6480000000000001,0.0026256575175555,0.0025996033647958,-0.002533905826875848
1.682,0.0031935286610469005,0.0031434258309675995,-0.0030943569019680206
1.7160000000000002,0.0036966779456069996,0.0036137346656816005,-0.0036074861314890905
1.75,0.004097070484140699,0.0039742221720469005,-0.004055619993359238
1.784,0.004362549033909799,0.0041920750374374,-0.004433713254122672
1.818,0.004468874265821002,0.004246587660091897,-0.004721169586336949
1.852,0.0044614364617226974,0.0042278154754611,-0.00488284544585582
1.8860000000000001,0.004590038880426903,0.0042968034106548,-0.005139702705054484
1.92,0.0048355676416812,0.0044752591339677,-0.005091070949168275
1.9540000000000002,0.005068801116734502,0.004652563725780004,-0.0020171823717459736
1.988,0.005441782672438798,0.004986478090637694,-0.00035368730279761174
2.022,0.005507522686714499,0.005049307622643905,0.0009332336576114432
2.056,0.005493321021398101,0.005046495307180196,0.0010202652997414183
2.09,0.005232472778135794,0.004815449648999402,0.0007961466506070103
2.124,0.005214111509277711,0.004805794151263296,0.0007335288075088764
2.158,0.00521444029816949,0.004813030379094502,0.0008395198809791893
2.192,0.00520746031806181,0.004816995418922401,0.0015467076528294932
2.226,0.005204223935268093,0.004826708344114805,0.0015331497232479174
2.26,0.005202899291251298,0.004837670942893696,0.0015105101807874053
2.294,0.005266390844120505,0.004907867118016301,0.0009393169146203473
2.328,0.005242154140796804,0.004903314010327592,0.0007109702799878992
2.362,0.005253451255981992,0.0049261329982528135,0.001511351530746663
2.396,0.005133222372869103,0.004824144710741496,0.0017747613892952208
2.43,0.005127498249189302,0.004838177640124397,0.0017991495306766137
2.464,0.0051562599112219,0.004881631134021194,0.0018147910030773542
2.498,0.005395447136783485,0.005125274741777208,0.0011021614930351031
2.532,0.005410196108707216,0.005148326548382695,0.0009279484193817077
2.566,0.005335857164335989,0.005087634177143002,0.0009397301931537427
2.6,0.004935674567675019,0.004712311449798695,0.0005856455389254833
2.634,0.005125122220461076,0.004899875453632102,0.0006344317447612992
2.668,0.005186848903481922,0.00496387789523281,0.0004891942649710712
2.702,0.005400342208683684,0.005173197744292202,0.0008160116939059936
2.736,0.005408946349154897,0.005187310518239702,0.0008533349575987615
2.77,0.005395398761905312,0.005179871611936782,0.0008401176477957906
2.8040000000000003,0.005343637296453402,0.005145258078752796,0.0005891720638259158
2.838,0.005328399062151795,0.005142235684430424,0.0013575966937325878
2.872,0.005355144981647991,0.005179360030286101,4.918484442539838e-05
2.906,0.005372759433702107,0.0051871244907159,-0.0010208082988353297
2.94,0.0053819514321191975,0.005184760030668478,-0.0010273025341925868
2.974,0.005391556575601419,0.005183501336129298,-0.0010365408817767374
3.008,0.005402551620579676,0.00518290600325122,-0.001171433955380552
3.042,0.0054142041417165054,0.005181161359245096,-0.0012508848361625355
3.076,0.005272165628752018,0.005033436129494195,-0.0007133460706951755
3.11,0.005135896847018678,0.004901311180702389,0.00013853150671916392
3.144,0.005139553592749507,0.0049058966539277105,0.00012199859366779364
3.178,0.005262172237265189,0.005023100452102108,-0.00032327421953082247
3.212,0.005440350199935801,0.0051818195088469965,-0.0013466073727110839
3.246,0.00543622753602202,0.005160517194643693,-0.001389684607590591
3.2800000000000002,0.005402536250772472,0.005119135384663215,-0.00165218654990551
3.314,0.005396678824381995,0.00510113930898079,-0.000773866178131688
3.348,0.0054275728717791405,0.005125331243130499,-0.0005754077705601991
3.382,0.0054318747937306955,0.005120393713709315,-0.0007647453770216472
3.416,0.005440551801107085,0.005120191615287484,-0.0008112443935786029
3.45,0.005449100504339499,0.005120083002781883,-0.0008218454030574086
3.484,0.005446589013272107,0.0051146283612680254,0.0004830227652474761
3.518,0.005447535816647975,0.0051218062651396945,0.0006003805966539045
3.552,0.005449312011396812,0.005129405558818079,0.0005868220326152861
3.5860000000000003,0.005090333359997423,0.004798024625782937,0.0009817399653488934
3.62,0.004868485441253512,0.004599921241674465,0.0014238581808974082
3.654,0.004867464248696773,0.004610299022262898,0.0013974540647279097
3.688,0.005041534664749603,0.004787410602122899,0.0005766974883617548
3.722,0.005247608973683482,0.004978756641194626,-0.0009186769606873703
3.7560000000000002,0.005294597254669409,0.005014954672279692,-0.0022221841367079387
3.79,0.005299211480007504,0.005001004637552875,-0.0017559898477820244
3.824,0.005407913588357294,0.005080614213069934,-0.0019035326308880494
3.858,0.00545064850864202,0.005097742559398988,-0.0024478588816441156
3.892,0.005208312875525478,0.004849889793065498,-0.0015453790508404008
3.926,0.0051913821840743335,0.0048220415239791925,-0.0012261977098111385
3.96,0.005200140808480691,0.004818773095889017,-0.0009886689459360774
3.994,0.005200009807253492,0.004813677401610983,2.091345432742031e-05
4.028,0.0052046172014861836,0.004818411472068129,-1.7558184479682382e-06
4.062,0.005237664519387231,0.004848224635747911,-5.071164348346979e-05
4.096,0.005498348429589295,0.005086935491295186,-0.0007776320051647857
4.13,0.00551793383280097,0.005094204649132961,-0.0008830937905037751
4.164,0.005519767594814706,0.005086790830430121,-0.0006481923689317659
4.198,0.005512266442379288,0.005073551169796187,-9.275733553604226e-05
4.232,0.005490778324805712,0.005050320987139534,-0.00023058222345739843
4.266,0.005439588178225707,0.005011152084390791,-0.00013681490189842993
4.3,0.005484550365933982,0.005052467647606584,1.9696652594269892e-05
4.334,0.0054865850578783015,0.005051568786398619,3.741103765209086e-05
4.368,0.005488031595048237,0.005053633426071569,0.00018428371228118579
4.402,0.00548956563287506,0.005057775674747134,0.00035408367364586635
4.436,0.005492575005913436,0.005064112890696415,0.0003407793412790738
4.47,0.005496846742235273,0.005071092092060081,0.00016759137979438513
4.504,0.005502656632286829,0.005076728309107381,-3.4009140629231993e-06
4.538,0.005507493467794999,0.005080886062060808,-1.7548223062657797e-05
4.572,0.005510952117106505,0.005083847455485291,0.0001246237097296543
4.606,0.005512954486631805,0.005086216484471995,0.00023673240646382435
4.64,0.005510064032824502,0.005085467337546723,0.00022976527705997898
4.674,0.005505860590662048,0.005079475760148722,-0.0007162537131862879
4.708,0.005490198331383311,0.005046219400447249,-0.0028918368834056625
4.742,0.005468161099285218,0.005003282473548698,-0.0031358258923119835
4.776,0.005516741122745916,0.005012550043940633,-0.0024524313846624457
4.8100000000000005,0.00553706405413279,0.005014259705231894,-0.0014143789717578903
4.844,0.005548532433617581,0.005010202224368376,-0.0014348582703291868
4.878,0.005372962721876373,0.004838682194437616,-0.0008166491756395056
4.912,0.0052609665506544445,0.004732247857147709,-0.0012189199794108152
4.946,0.005288433505998058,0.004741001426572911,-0.0017151371811126026
4.98,0.005480964944883371,0.004895372811799414,-0.00233720146691141
