Time,delta_position_x,delta_position_y,delta_yaw
0.138,0.0,0.0,0.0
0.17200000000000001,-9.345555641360193e-06,-9.16526359828751e-06,9.045965701948157e-06
0.20600000000000002,2.9476757124058395e-07,2.882585432573137e-07,-9.755490871232732e-06
0.24000000000000002,-3.9220951197904697e-07,-5.188414240464567e-07,-7.363760061940283e-06
0.274,-7.17914696579669e-07,-7.069695273642651e-07,-7.499680401257258e-06
0.308,-9.425439646548739e-07,-9.18386291459683e-07,-7.928824037994886e-06
0.342,-4.8366141305322685e-06,9.926227188206127e-06,-1.3895966964105888e-05
0.376,6.84391549654606e-07,6.659985452017736e-08,-8.709969833819999e-06
0.41000000000000003,-3.2579445274905083e-07,2.46083614818815e-07,6.162917278285107e-06
0.444,-5.141639549677279e-07,3.874009690818525e-07,9.690425956665472e-06
0.47800000000000004,-5.600901475943942e-07,4.217626510261141e-07,1.0549067354426178e-05
0.512,-5.714875577211842e-07,4.3028955776236444e-07,1.0762150354004518e-05
0.546,-5.743372302191574e-07,4.324081359641241e-07,1.0815301611954986e-05
0.5800000000000001,-5.75068074937235e-07,4.329379201806205e-07,1.0828806983442796e-05
0.614,-5.752734519859359e-07,4.3307369601564005e-07,1.0832480740630148e-05
0.648,-5.753484773052264e-07,4.331117486877645e-07,1.0833716255653771e-05
0.682,-5.753911382910815e-07,4.331255545331203e-07,1.08343468461225e-05
0.7160000000000001,-5.754257390577777e-07,4.331333238738466e-07,1.0834827217087728e-05
0.75,-5.754583076722497e-07,4.331395890844192e-07,1.0835270113029871e-05
0.784,-5.754903433796699e-07,4.331454608319518e-07,1.0835703552314335e-05
0.8180000000000001,-5.755222165504392e-07,4.3315122910669857e-07,1.083613452967924e-05
0.8520000000000001,-5.755540311014329e-07,4.331569556370596e-07,1.0836564723670783e-05
0.886,-5.755858083489329e-07,4.3316266618020904e-07,1.0836994570162519e-05
0.92,-5.756175491811177e-07,4.3316836073614695e-07,1.0837424187948308e-05
0.9540000000000001,-5.756492749142694e-07,4.331740384166949e-07,1.0837853683054455e-05
0.9880000000000001,-5.756809748902469e-07,4.3317970899181546e-07,1.0838283045933041e-05
1.022,-5.75712652661764e-07,4.33185368908795e-07,1.0838712299343634e-05
1.056,-5.75744313557891e-07,4.331910230526148e-07,1.0839141457053005e-05
1.09,-5.757759611313418e-07,4.331966669823828e-07,1.0839570513065944e-05
1.124,-5.758075909412241e-07,4.3320230425081263e-07,1.0839999463829741e-05
1.158,-5.758392109811439e-07,4.3320793574608274e-07,1.084042834087473e-05
1.192,-5.758708159220305e-07,4.3321355880365786e-07,1.0840857137650596e-05
1.226,-5.759024128693113e-07,4.332191783085193e-07,1.0841285901452835e-05
1.26,-5.759340027111648e-07,4.332247902638642e-07,1.0841714620291045e-05
1.294,-5.759655818948772e-07,4.332303986664954e-07,1.0842143307598917e-05
1.328,-5.759972161456517e-07,4.3323609100198723e-07,1.0842573457514604e-05
1.362,-5.760287962175425e-07,4.332418153119022e-07,1.0843003410587748e-05
1.396,-5.760603238869066e-07,4.332474996537883e-07,1.0843432377560802e-05
1.4300000000000002,-5.760918382335944e-07,4.332531760020686e-07,1.08438611904349e-05
1.464,-5.761233454748549e-07,4.3325884613309995e-07,1.0844289939582195e-05
1.498,-5.76154845610688e-07,4.3326451715230974e-07,1.0844718671521036e-05
1.532,-5.761863741682305e-07,4.332702010501066e-07,1.0845147870641725e-05
1.566,-5.762180395052496e-07,4.332759888647786e-07,1.0845579709539699e-05
1.6,-5.762496027017505e-07,4.33281697187482e-07,1.0846009668830092e-05
1.634,0.00024322989507385984,0.00024507423369346526,-0.0002291504148609347
1.6680000000000001,0.0008518236978329874,0.0008526317139541106,-0.0008181089085887995
1.702,0.001466024170344138,0.0014633013215390456,-0.0014109417150753865
1.7360000000000002,0.002078523103483665,0.002067010677544001,-0.0020027385058227765
1.77,0.00267781129388478,0.0026502415664304557,-0.002585431602364907
1.804,0.0032418645158482917,0.003189455612881531,-0.003144445048495425
1.838,0.003738350806950397,0.0036523640962982107,-0.0036540440848739086
1.872,0.004129161029313266,0.004002713097756239,-0.004097033619617552
1.9060000000000001,0.004383027038554754,0.004208036068237497,-0.004472096096837407
1.94,0.004475115740908642,0.00425051934716425,-0.004763913620853266
1.9740000000000002,0.004471987076851924,0.004234711450910034,-0.004922888777841639
2.008,0.004612649445943973,0.00431427233322168,-0.005180013412448337
2.042,0.004865652717941593,0.004498428133016041,-0.004901536481637491
2.076,0.005105613178064239,0.004684270864948825,-0.0017433503607633405
2.11,0.00522386926658891,0.004788607520487265,0.00013795787466686085
2.144,0.005463092302722128,0.005011988200579243,0.0009265491508618773
2.178,0.005496309351378237,0.005054964701550979,0.0013186108859017942
2.212,0.005469011172154481,0.005043561838957711,0.0013129734088659362
2.246,0.005028605373452066,0.0046469956788408595,0.0007612581912317395
2.2800000000000002,0.005187371047497447,0.004800452257898158,0.000806196845123397
2.314,0.0052055722785619984,0.004825362909235853,0.001152744524578364
2.348,0.005200029030406839,0.004830986150033301,0.0015573331144622669
2.382,0.005193108020760118,0.0048370156018360255,0.001554125073680579
2.416,0.005181749475691166,0.004837486515352651,0.0014811800376560713
2.45,0.005144943125032775,0.004824137969569708,0.0013107272585527463
2.484,0.005184083863727373,0.0048845087182316504,0.0018561867967347156
2.518,0.005294115321937465,0.005003161351969876,0.0022559381669853278
2.552,0.005112699089034223,0.004851015908628131,0.0017643072376050117
2.5860000000000003,0.0051091808309178255,0.00486507194877861,0.0017373198089988273
2.62,0.005149786588371175,0.004919293308856432,0.0010911724549907964
2.654,0.0054047207225509375,0.005157347886285635,-0.0026510165005044777
2.688,0.005449417988556249,0.005167716236707864,-0.0030195106102991476
2.722,0.005460940225423094,0.005149315842263302,-0.0018476963583824446
2.7560000000000002,0.005461475897614587,0.005140425020257133,-0.0005200586885988346
2.79,0.00546828102485275,0.005140942843359753,-0.000534294116425138
2.824,0.005467538959677221,0.005134949512031195,0.0002230891093655263
2.858,0.005459645421602044,0.005132213536907848,0.0008242288643883766
2.892,0.00544755857738588,0.005125209707157907,0.0007810374011817389
2.926,0.005391958765963878,0.005088068427867576,0.0005781902383026338
2.96,0.005391102792027258,0.00509764635467036,0.001152522250690735
2.994,0.00540574451878717,0.005124181493859403,0.001136113158716645
3.028,0.0052410950689187885,0.004977812647305679,0.0009755583977213434
3.062,0.004902740555765117,0.004661791529804837,0.000553805469377333
3.096,0.005116694176523051,0.004873494089928876,0.0009068981031362665
3.13,0.005269667951433021,0.005028130458754276,0.0010525235543613622
3.164,0.005399046849955624,0.0051644942787572035,0.0014405524196251516
3.198,0.005394766980082011,0.005175269263089977,0.001436090565594683
3.232,0.005239859074932962,0.005037736582961916,-4.429980746922802e-05
3.266,0.005138944964845127,0.004929060253040962,-0.0016739573139281652
3.3,0.005150020299997671,0.004921630037382663,-0.0016892312114354935
3.334,0.005270126885696058,0.0050195934612675686,-0.0021680940606052523
3.368,0.005455901648154349,0.005164403274214191,-0.0031157915999263652
3.402,0.005447180111210592,0.005124180435089443,-0.0033341815901130056
3.436,0.005385893461076208,0.005046447021657574,-0.0016200477008246894
3.47,0.005401330759182255,0.005054273981305535,0.0014044661051126897
3.504,0.005428410546306051,0.005097552476099221,0.0013734126924931365
3.5380000000000003,0.005192884810904186,0.004889849921909661,0.0020887660009883953
3.572,0.0051214962939645226,0.0048470661606359045,0.0026175062203729334
3.606,0.005113378212494801,0.00486462037049451,0.0025679959448426937
3.64,0.005116496044762275,0.0048868353293078926,0.001250238598650033
3.674,0.0051156025255063575,0.0048977340194991115,0.0012380005386946056
3.708,0.005119166728100755,0.004912860073254421,0.0012168425128193936
