Time,delta_position_x,delta_position_y,delta_yaw
0.07,0.0,0.0,0.0
0.10400000000000001,1.8190515415739128e-05,-3.3876190741466417e-09,-8.543194112142771e-07
0.138,-1.1805164157330239e-07,2.536686416476641e-10,4.6952060017702024e-08
0.17200000000000001,3.25127312184037e-07,5.720204754311453e-09,2.2648183328755067e-08
0.20600000000000002,6.0195936057994e-07,5.374796163692963e-10,9.823633417838096e-08
0.24000000000000002,9.429500467117435e-07,2.94112734167129e-10,1.015183372921058e-07
0.274,-5.144489700903421e-08,-3.722074561895994e-07,-2.4278745853756334e-06
0.308,-1.1679899247774017e-07,-5.8347819908988185e-09,-1.3239050753455217e-06
0.342,3.344814203387614e-09,-1.55016626202098e-08,2.469985900255267e-07
0.376,3.1861466798233096e-09,-1.871036392486758e-08,2.9553204550225587e-07
0.41000000000000003,3.288597838491114e-09,-1.9374813087225107e-08,3.055793325046352e-07
0.444,3.303258555575894e-09,-1.946999383939385e-08,3.0701864561777375e-07
0.47800000000000004,3.3053784154191135e-09,-1.9483940683073797e-08,3.072295653439028e-07
0.512,3.3057034887207237e-09,-1.9486027014181673e-08,3.0726114186308e-07
0.546,3.305764328942473e-09,-1.9486380953281923e-08,3.0726652200385734e-07
0.5800000000000001,3.305786089313756e-09,-1.9486481095398744e-08,3.0726805810843416e-07
0.614,3.305803186748335e-09,-1.9486542823798914e-08,3.0726902444655485e-07
0.648,3.3058189519152847e-09,-1.9486598779039355e-08,3.0726990596363635e-07
0.682,3.3058347170822344e-09,-1.9486653402012166e-08,3.0727077104941714e-07
0.7160000000000001,3.3058498161153693e-09,-1.9486707802940373e-08,3.072716165952727e-07
0.75,3.305865581282319e-09,-1.948676087160095e-08,3.0727245592387936e-07
0.784,3.305880236226244e-09,-1.9486812385949293e-08,3.072732739362039e-07
0.8180000000000001,3.305895779348589e-09,-1.9486864788476055e-08,3.072741008303126e-07
0.8520000000000001,3.3059108783817237e-09,-1.9486915858735188e-08,3.0727491351356667e-07
