Time,delta_position_x,delta_position_y,delta_yaw
0.251,0.0,0.0,0.0
0.28500000000000003,1.7709225040747623e-07,3.462566444839034e-07,-7.935516771251372e-06
0.319,3.550732894726412e-07,5.896085435107799e-07,-7.883921808282679e-06
0.35300000000000004,5.052647571832276e-07,8.417900666801703e-07,-8.281899874340581e-06
0.387,6.6765503419601024e-06,-8.281339216041714e-06,-1.7058013145554437e-05
0.42100000000000004,-1.921401638124015e-07,-6.821073085540822e-07,-2.7898589647357137e-06
0.455,4.774529617332536e-07,-1.944468101351337e-07,7.830568451883124e-06
0.48900000000000005,6.222996353079223e-07,-2.509226367055674e-07,1.0156310815467862e-05
0.523,6.571364090670294e-07,-2.644529146925492e-07,1.0715201992361758e-05
0.557,6.655990551283734e-07,-2.677341054439438e-07,1.0850905117099074e-05
0.5910000000000001,6.676736217475586e-07,-2.6853203982527354e-07,1.0884105150488209e-05
0.625,6.682008859408041e-07,-2.6872844414082756e-07,1.0892480024171649e-05
0.659,6.683531640228768e-07,-2.6877901430260106e-07,1.0894841039998937e-05
0.6930000000000001,6.684143906000688e-07,-2.6879412120530896e-07,1.089574403323468e-05
0.7270000000000001,6.684533498959276e-07,-2.688005065407118e-07,1.0896292464313007e-05
0.761,6.684867199101448e-07,-2.688046584751503e-07,1.0896753695810446e-05
0.795,6.685185579887593e-07,-2.6880815932233196e-07,1.0897192597614236e-05
0.8290000000000001,6.685498633298911e-07,-2.688114023327928e-07,1.0897624994399281e-05
0.8630000000000001,6.685808930611929e-07,-2.688144919234419e-07,1.0898054819463711e-05
0.897,6.686117232160282e-07,-2.688174617132208e-07,1.0898483120858062e-05
0.931,6.686423846998003e-07,-2.688203274273974e-07,1.0898910232981509e-05
0.9650000000000001,6.686728962050082e-07,-2.688230997076324e-07,1.0899336316594345e-05
0.9990000000000001,6.687032725943495e-07,-2.6882578741185825e-07,1.0899761480942518e-05
1.033,6.687335267793609e-07,-2.688283983519682e-07,1.0900185814843866e-05
1.067,6.687636702720907e-07,-2.68830939554026e-07,1.0900609396902185e-05
1.101,6.687937135194978e-07,-2.688334173970436e-07,1.090103229950401e-05
1.135,6.688236661106864e-07,-2.6883583771793174e-07,1.0901454587486372e-05
1.169,6.688535364447572e-07,-2.688382057052484e-07,1.0901876319024952e-05
1.203,6.688833324589374e-07,-2.6884052619193313e-07,1.0902297547410456e-05
1.237,6.689130611354892e-07,-2.68842803484437e-07,1.090271832104861e-05
1.271,6.689427289596727e-07,-2.6884504155180733e-07,1.0903138684348335e-05
1.305,-0.00020808048178374089,-0.0003639588671284421,-0.0005656600710217674
1.339,-0.0006446607889150001,-0.0011160846185949,-0.0017438932847522182
1.373,-0.0010850435176320999,-0.0018671984700467,-0.0029215236133559586
1.407,-0.0015282071995522,-0.0026078393036552,-0.0040968916020731605
1.441,-0.0019667312197567005,-0.0033196451883627,-0.005256418166255105
1.475,-0.0023858608613665996,-0.0039734503406567995,-0.006361190285386619
1.509,-0.0027612269273372993,-0.0045271693685878,-0.007263855688375731
1.5430000000000001,-0.0030624406935302,-0.004936688323813401,-0.007615014544414044
1.577,-0.003261283242998101,-0.005165245946776399,-0.007222828926928049
1.611,-0.003330946737494799,-0.005217340837004897,-0.006359331135047164
1.645,-0.0033806069401747,-0.005228328692847402,-0.007783544835215926
1.679,-0.0035395685913777,-0.005350241483451104,-0.010562683227206549
1.713,-0.0037825280490729023,-0.0055693826101849975,-0.012573488984791046
1.7469999999999999,-0.003977931473982295,-0.005709408474807297,-0.010217290698222746
1.7810000000000001,-0.004107826117679,-0.005785173607045703,-0.00776588471374584
1.815,-0.003762319117044402,-0.005220244557968004,-0.006178903752644515
1.8490000000000002,-0.003747373703704898,-0.0051335050854211944,-0.006499996693451136
1.883,-0.0038118917158197,-0.0051498170861699055,-0.0065434160266715224
1.917,-0.004128605153716505,-0.005510743148064698,-0.0038769693839197927
1.951,-0.004485033387081595,-0.005944035917027496,-0.004683642382478759
1.985,-0.004578170945685599,-0.005996850058892597,-0.005186313462955726
2.019,-0.004597563961023607,-0.005966566469320103,-0.004096117213156614
2.053,-0.004613557582104397,-0.005942575442879697,-0.003976000358923759
2.087,-0.004613907919022803,-0.005893696574788998,-0.0035013539274260097
2.121,-0.004642006800448392,-0.005887136912448812,-0.003581396818637117
2.155,-0.004649703025945709,-0.005854530493225596,-0.003990834159929513
2.189,-0.004594781930190195,-0.0057346170369167865,-0.003924568225261104
2.223,-0.004319088835585808,-0.0053611151238678045,-0.001374880214013885
2.257,-0.0044654786382929,-0.005514704424006117,-0.00390800141396852
2.291,-0.004481676907812898,-0.005492675357198079,-0.0023240040336607315
2.325,-0.004563729876318895,-0.005581004077917617,-0.0010629280690026555
2.359,-0.0047710761833840015,-0.005806699929592596,-0.0036446063029416105
2.393,-0.004794659596588299,-0.005791594513368692,-0.0032492365133265366
2.427,-0.0048137263868766045,-0.005778654463104105,-0.0029605980531286487
2.461,-0.0048317168369300945,-0.005765017631918001,-0.002911653875326881
2.495,-0.004760539906231792,-0.0056450150136486965,-0.0040713046911280415
2.529,-0.00464693671388311,-0.005463317941350299,-0.004038022266279029
2.563,-0.004639148214989092,-0.0054119912501281175,-0.002634130044830485
2.597,-0.004674640733006302,-0.005431599057482084,-0.002114954408827696
2.6310000000000002,-0.004852209195191498,-0.0056077298176303025,-0.0031607720939659245
2.665,-0.004887479962343594,-0.0056144702468040875,-0.0039088995219325184
2.699,-0.004881109712962101,-0.00556045718453041,-0.003426643575338506
2.733,-0.004942622952188114,-0.005595904829620413,-0.002200603395973832
2.767,-0.004968390714520904,-0.005602224628474178,-0.0019953391940137344
2.801,-0.004989971996855802,-0.0056013270390250225,-0.002817571085892201
2.835,-0.005012316452952192,-0.00559231030490509,-0.0029970966471886125
2.869,-0.0050330666320718975,-0.005581524434521007,-0.003001192682792641
2.903,-0.005035196050814705,-0.005559356169452495,-0.0006181087607091129
2.9370000000000003,-0.005031849252328191,-0.005553966136270405,-7.284867746459867e-05
2.971,-0.005029220227529607,-0.005550141289855315,4.13680561353047e-05
3.005,-0.004994253414203287,-0.005517073574651976,-0.00027343045521011083
3.039,-0.00498925336705891,-0.0055049928063715114,-0.00018479593217213264
3.073,-0.005026755717459114,-0.0055408148180272065,-0.0008142982704519852
3.107,-0.004998721825424685,-0.005511323634913801,0.0013267607664153578
3.141,-0.004985501686771504,-0.005517441925485256,0.0012646781925464976
3.175,-0.004964766503610801,-0.005501016553365101,0.0009237794447374271
3.209,-0.004771364757158697,-0.0053014307753362355,0.0013481898688141314
3.243,-0.004726976111976311,-0.0052601453860565694,0.0006868686464134299
3.277,-0.004733916489302187,-0.005274846859432913,0.0006381822412011573
3.311,-0.00496703565081652,-0.00553548344628102,-0.0009851982207038645
3.345,-0.0050180013481000985,-0.005575994832454911,-0.0014333416698990578
3.379,-0.005029876085422269,-0.005573778840408883,-0.0011045756784069383
3.4130000000000003,-0.00501443982073152,-0.005555255941126103,0.0015307690009858101
3.447,-0.005002745524452401,-0.005562998432761979,0.0016085647402350745
3.481,-0.004970097177984911,-0.005550316290025004,0.0015696772671001111
3.515,-0.0049012242390706895,-0.005478765782569006,-0.000633767201347446
3.549,-0.0049847381285372805,-0.005554983814593795,-0.0019729279567011204
3.583,-0.005013705083659337,-0.005561635856146996,-0.002411121247894776
3.617,-0.005014002908443893,-0.005537757966321888,-0.002981007863170238
3.651,-0.005018202557606877,-0.005502145307791417,-0.003388725843774143
3.685,-0.0050626512893552356,-0.0055147353690472856,-0.0027370936509338866
3.7190000000000003,-0.005081117270640645,-0.0055075628899053375,-0.002368683632879787
3.753,-0.0050981304889221035,-0.005500075062128462,-0.0023868406985196877
3.787,-0.005112064409982298,-0.005489247572249445,-0.0018851632400860296
3.821,-0.005118910747079042,-0.005481078077723578,-0.001143118894602946
3.855,-0.005127660640439458,-0.00547738308005058,-0.0011163527384159266
3.8890000000000002,-0.005131484337337011,-0.005469252734055796,-0.0007264429263398321
3.923,-0.005121979856552827,-0.005457866515079124,-0.0001957106699457256
3.957,-0.005096701450637009,-0.005431682170076502,0.00025659528148258554
3.991,-0.00510230687797919,-0.005437798090164592,-0.0004497060012642607
4.025,-0.005127779118279163,-0.005452940542182982,-0.0013443577030267662
4.059,-0.005133149511436508,-0.0054428277607724285,-0.0014336364558400483
4.093,-0.005050093935914213,-0.005346773499792512,4.046525811229884e-05
4.127,-0.0047655437796804145,-0.005065479381501259,0.003508873764977327
4.161,-0.004846082089201009,-0.00516077752567351,-0.0017432889866451085
4.195,-0.004947803916275695,-0.00524829930357773,-0.002208620462043953
4.229,-0.005127943806847612,-0.005420540076991165,-0.0005950227601916325
4.263,-0.005147082473666353,-0.005437156418779121,-0.0003552051315560689
4.297,-0.005158164775200036,-0.005442509615417979,-0.0010773326066444433
4.331,-0.005169911523135895,-0.005439597987616618,-0.0013428245068385358
4.365,-0.0051757348100525125,-0.0054311526561555135,-0.0012594657910787177
4.399,-0.0051727759056066636,-0.005414133514547281,-0.0017408576930026953
4.433,-0.005156947878696028,-0.005381836985694111,-0.0015178386248915208
4.467,-0.005183359868122794,-0.005391107055248812,-0.0017731606455111406
4.501,-0.005205376217144619,-0.005388563134893776,-0.002456362751232621
4.535,-0.0052222495514477885,-0.005377966550358493,-0.002699372622779528
4.569,-0.0052287975047831114,-0.005361541668450487,-0.002902152377616485
4.603,-0.005054293363521589,-0.005155718707689161,-0.0006526765884671271
4.6370000000000005,-0.0049470403505220695,-0.005045026181206058,7.57159529474194e-05
4.671,-0.004953944309421587,-0.005054201731493624,0.00013964750609174456
4.705,-0.0051562960030897,-0.005256902176045686,-0.0011663916717661313
4.739,-0.005256953176501711,-0.005343651563181839,-0.0014535608200181294
4.773,-0.005268501678316939,-0.0053393665655486755,-0.0014509906708219944
4.807,-0.005281975021319052,-0.005335104690334602,-0.001878813301825488
4.841,-0.005290094663531031,-0.0053228734657728705,-0.0017848546609062768
4.875,-0.005289022844608304,-0.005309334332852078,-0.001597864078390465
4.909,-0.0052714478691128774,-0.005274316945957924,-0.0008945086092282395
4.943,-0.005296496826571018,-0.00528998313682616,-0.0011881829862154802
4.977,-0.005301868609232319,-0.005280166561132504,-0.001072048626003408
5.011,-0.005299269658069927,-0.005271716506762503,-5.3972620156717e-05
5.045,-0.005294840428973879,-0.005270630164237566,-0.0002336273879475215
5.079,-0.005260428125359318,-0.0052299532484710864,-0.0006425515194448118
5.113,-0.0050172325642267035,-0.004993904376589864,0.0025244213583226482
5.147,-0.004985660011415538,-0.004991139320524862,0.0027859910107488344
5.181,-0.004995261586758226,-0.005027442624360945,0.0026538811177019284
