Time,yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw,Theta_calculated,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,odom_world_velocity_x,odom_world_velocity_y,odom_yaw_world
0.445,0.7849526843984598,1.7046730262874377e-07,3.964943335811772e-07,-2.191318620337057e-06,0.7853791311355885,3.809306157269819e-05,2.6936374799715045e-05,2.6935349498951226e-05,-0.0004300585711279,-0.0043895810565738,-0.0265591735642504,8.969607683453564e-07,8.969676510857956e-07,-1.4320950418561875e-05,1.0660937977718978e-06,7.541790334223013e-07,7.535051235352762e-07,0.7849511799632629
0.479,0.7849606756342312,-4.232623020848317e-07,3.1951412723637065e-07,7.991235771442895e-06,0.7853648101851699,-7.710824291945934e-06,-5.452557996599182e-06,-5.452194288081253e-06,1.764611189470713e-05,-0.0013754920680073,0.0134445850757564,-1.8156467577017449e-07,-1.8156357548551449e-07,5.876155260937475e-07,-2.087085239481797e-06,-1.476444585325499e-06,-1.4751393775931156e-06,0.7849559575636638
0.513,0.7849708104618786,-5.3778644615223e-07,4.053903857022603e-07,1.0134827647334532e-05,0.7853653978006959,-7.314346091720736e-06,-5.172193183068371e-06,-5.171854254181133e-06,0.00015222259634,1.190625225901496e-05,0.0040413358692307,-1.7222842465408154e-07,-1.722283551914952e-07,5.069012458125002e-06,-2.635694152265893e-06,-1.8645237181331936e-06,-1.8629103491063104e-06,0.7849653270556041
0.547,0.7849814695689495,-5.658127007952297e-07,4.263921391648748e-07,1.0659107070987162e-05,0.785370466813154,-5.481099843603612e-06,-3.8758302105712e-06,-3.87561552200101e-06,0.0001921982757923,5.505243988339711e-05,0.0012004708544219,-1.290608574070852e-07,-1.2906228558722766e-07,6.4002025838850045e-06,-2.769289690845512e-06,-1.9590110291278667e-06,-1.957355659960297e-06,0.7849754836025251
0.5810000000000001,0.7849922591019654,-5.727901482657262e-07,4.316100947637275e-07,1.0789533015809203e-05,0.785376867015738,-3.992184604536045e-06,-2.822960922548912e-06,-2.822840687402747e-06,0.000212383356436,4.4712169341368376e-05,0.0006061585778903,-9.400144348045587e-08,-9.400375015973807e-08,7.072365769321875e-06,-2.8026606301144164e-06,-1.9825971740361247e-06,-1.9809631629834287e-06,0.7849859050183179
0.615,0.7850030812957758,-5.745441714320211e-07,4.329082379161617e-07,1.082219381043359e-05,0.7853839393815072,-2.7581488252702534e-06,-1.9503334788529155e-06,-1.950277996493106e-06,0.0002306006151414,3.7058131509483225e-05,0.0005470648259864,-6.494390521557748e-08,-6.49464569019286e-08,7.679000484209998e-06,-2.8118396264608235e-06,-1.989068898476597e-06,-1.987472516048572e-06,0.7849967134499047
0.649,0.7850139119136189,-5.750032738079287e-07,4.332345569157612e-07,1.0830617843127222e-05,0.7853916183819915,-1.5152495272477483e-06,-1.0714502284960535e-06,-1.0714362032712352e-06,0.0002304277070252,3.732430324391907e-05,-5.1924359207202926e-06,-3.567808428760008e-08,-3.5680033864629415e-08,7.673242643941871e-06,-2.8145117114855868e-06,-1.990938201026312e-06,-1.989382128647898e-06,0.785007221922829
0.683,0.7850247449449022,-5.751412112827391e-07,4.3331986293668884e-07,1.0833031283241644e-05,0.7853992916246353,-4.616764795450377e-07,-3.264542010855003e-07,-3.264549377153413e-07,0.0002334901922294,3.163883026134266e-05,9.19665226476474e-05,-1.0870556179496506e-08,-1.0871318129223843e-08,7.775223401240621e-06,-2.815627749039595e-06,-1.9917067439135216e-06,-1.9901919172308925e-06,0.7850177351800421
0.7170000000000001,0.7850355788988735,-5.751994662643069e-07,4.333453856517075e-07,1.0833953971389755e-05,0.7854070668480364,5.941391567387401e-07,4.2011608616565044e-07,4.201235671978865e-07,0.0002406098467059,3.170617526377711e-05,0.0002138034377333,1.3989389499500137e-08,1.3990590932621186e-08,8.012307895308764e-06,-2.816356949696172e-06,-1.992200996442191e-06,-1.9907289262671275e-06,0.7850285686175749
0.751,0.7850464134056383,-5.752379260812353e-07,4.333560675241931e-07,1.0834506764756393e-05,0.7854150791559319,1.64255846908106e-06,1.1614445847680047e-06,1.1614838788648738e-06,0.0002305903765346,3.1484063433703296e-05,-0.0003008849901286,3.867479469489511e-08,3.867872305532973e-08,7.678659538604991e-06,-2.81696136208576e-06,-1.9926076003399226e-06,-1.991177105772271e-06,0.7850390841269307
0.785,0.7850572483732732,-5.752714450466163e-07,4.333630545965729e-07,1.0834967634876236e-05,0.7854227578154704,2.7760133118964203e-06,1.962889559598687e-06,1.9629861142261314e-06,0.0002246415371372,3.403768296742824e-05,-0.0001786438257497,6.536201485744033e-08,6.53696448982311e-08,7.48056318666938e-06,-2.8175371412828824e-06,-1.992993940298999e-06,-1.99160505533602e-06,0.7850496001146053
0.8190000000000001,0.7850680837788043,-5.753037097817708e-07,4.3336911208051443e-07,1.0835405531151032e-05,0.7854302383786572,4.188570762130613e-06,2.9616717892446244e-06,2.961861786472821e-06,0.0002218152772675,4.2419142649675446e-05,-8.487266875998017e-05,9.862034446073687e-08,9.863332328448249e-08,7.386448733008125e-06,-2.8181246315185327e-06,-1.993387919551148e-06,-1.992041927510316e-06,0.7850604352122063
0.8530000000000001,0.7850789196163732,-5.75335637364744e-07,4.333749269208771e-07,1.083583756888995e-05,0.7854376248273902,5.536731786963971e-06,3.914906095235824e-06,3.915215083014296e-06,0.0002024355323325,4.048531606106179e-05,-0.0005819743223713,1.3036201831738552e-07,1.3038101642286456e-07,6.741103226673751e-06,-2.818690687177957e-06,-1.9937673622095274e-06,-1.9924630223348706e-06,0.785070952046804
0.887,0.7850897558843828,-5.753674577348676e-07,4.333806705269888e-07,1.0836268009573049e-05,0.7854443659306167,7.185165789256764e-06,5.080444707849367e-06,5.08091418837114e-06,0.0001863311330752,4.950252259137518e-05,-0.0004836155933112,1.6917320295153354e-07,1.692000475843369e-07,6.204826731406879e-06,-2.819257283776149e-06,-1.994147178043861e-06,-1.9928845085515063e-06,0.7850814692877962
0.921,0.7851005925823066,-5.753992302435368e-07,4.3338638641308644e-07,1.0836697923788384e-05,0.7854505707573483,9.314641335058547e-06,6.586100865046908e-06,6.5867912215440455e-06,0.0001720008927238,6.394821458864218e-05,-0.000430337548092,2.193099438796328e-07,2.193473616089225e-07,5.727629727703114e-06,-2.8198377527920523e-06,-1.994536161393093e-06,-1.9933164457673643e-06,0.7850923056569932
0.955,0.7851114297098974,-5.754309717101967e-07,4.3339208627814565e-07,1.083712759086808e-05,0.7854562983870761,-0.0001525456885057,-0.0001078598198068,-0.0001078723613949,0.0021899661840864,-0.0048606705657895,0.0605995582991775,-3.5914931403101826e-06,-3.5923884484630324e-06,7.292587393007814e-05,-2.82040075544034e-06,-1.994913416002443e-06,-1.993735409712609e-06,0.785102823720516
0.989,0.7851222672669899,-5.754626881925018e-07,4.333977738383774e-07,1.083755709241352e-05,0.7855292242610061,9.914435727662156e-06,7.009645863792511e-06,7.011483485123557e-06,0.000161877433832,0.0048786824094113,-0.0609035660737054,2.334135665035051e-07,2.3349003856898614e-07,5.3905185466068725e-06,-2.8209641377404427e-06,-1.995290929742758e-06,-1.994154650999757e-06,0.7851133421887672
1.023,0.7851331052534496,-5.754943829630078e-07,4.334034507890404e-07,1.0837986459732996e-05,0.7855346147795527,8.49276420582432e-06,6.004471674774255e-06,6.006110535326873e-06,0.0001906839064792,-4.269283849362872e-05,0.0008650592386542,1.9994226568263646e-07,2.000101198808029e-07,6.3497740857581306e-06,-2.821543292255306e-06,-1.995678953981897e-06,-1.994585686979788e-06,0.7851241798216397
1.057,0.7851439436691593,-5.7552605835752e-07,4.334091182073979e-07,1.0838415709701898e-05,0.7855409645536383,6.749430449369356e-06,4.7718864630027526e-06,4.773249519466305e-06,0.0002057238626716,-5.23523650587076e-05,0.000451650336108,1.5889850152531116e-07,1.5895452499491397e-07,6.850604626964992e-06,-2.822105505961665e-06,-1.996055622096484e-06,-1.9950041203657112e-06,0.7851346991111946
1.091,0.7851547825140158,-5.755577163727051e-07,4.334147769872662e-07,1.0838844856531082e-05,0.7855478151582653,5.499584384027044e-06,3.888211403327803e-06,3.889375332886474e-06,0.0002230316427191,-3.7532914875144506e-05,0.0005197531545802,1.294730694056537e-07,1.2952056745772718e-07,7.426953702547504e-06,-2.822666171349464e-06,-1.996431185718306e-06,-1.9954214681545458e-06,0.7851452188051056
