Time,yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw
0.397,-0.7851713209674183,0.0,0.0,0.0
0.43100000000000005,-0.7851823564401079,2.9836908510333035e-07,-5.014699314995034e-07,-1.1035472689657766e-05
0.465,-0.7851909382382312,3.9294034138038364e-08,-8.14209519211899e-08,-8.58179812324167e-06
0.49900000000000005,-0.7851988751302232,-6.212327652061096e-07,5.405901292317682e-07,-7.936891992077477e-06
0.533,-0.7852066912832776,-7.761291497148694e-07,7.952469713761248e-07,-7.816153054340802e-06
0.5670000000000001,-0.7852149670604914,-9.927611134695653e-07,1.0178512312533118e-06,-8.275777213850866e-06
0.6010000000000001,-0.785231228805364,1.0217073415322298e-05,3.908856455815072e-06,-1.6261744872569924e-05
0.635,-0.785232388523901,2.1859034260137203e-07,-7.21286426215596e-08,-1.1597185369804919e-06
0.669,-0.7852242201768727,3.2134735346561055e-07,4.3734436368106544e-07,8.168347028325584e-06
0.7030000000000001,-0.7852140208895249,4.026772363364961e-07,5.453887692180061e-07,1.0199287347800734e-05
0.7370000000000001,-0.7852033266941364,4.2248606873336245e-07,5.717185279164125e-07,1.0694195388460948e-05
0.771,-0.7851925103759366,4.273676617125993e-07,5.782224811643442e-07,1.0816318199768915e-05
0.805,-0.7851816637168976,4.285722207770719e-07,5.798471173555451e-07,1.0846659039054352e-05
0.8390000000000001,-0.7851708092889058,4.2887246138115274e-07,5.802717427459501e-07,1.0854427991757731e-05
0.8730000000000001,-0.7851599526445601,4.289502286676859e-07,5.804011194900805e-07,1.0856644345746957e-05
0.907,-0.7851490951499647,4.289732459380681e-07,5.804578115989854e-07,1.0857494595395423e-05
0.9410000000000001,-0.785138237141406,4.289827715054685e-07,5.804965713305209e-07,1.0858008558711774e-05
0.9750000000000001,-0.7851273787018334,4.289889560813234e-07,5.805308717597712e-07,1.0858439572603016e-05
1.009,-0.7851165198518595,4.289942984701811e-07,5.805640315888205e-07,1.0858849973871543e-05
1.043,-0.7851056605967435,4.289994151168708e-07,5.805968712850607e-07,1.08592551160136e-05
1.077,-0.7850948009379493,4.2900445934752895e-07,5.806295965138375e-07,1.0859658794215576e-05
1.111,-0.7850839408759899,4.2900947038772286e-07,5.806622612879349e-07,1.0860061959383494e-05
1.145,-0.7850730804111297,4.2901445931929974e-07,5.80694882091129e-07,1.0860464860207308e-05
1.179,-0.7850622195435588,4.2901943005579576e-07,5.80727465710959e-07,1.086086757084992e-05
1.213,-0.7850513582734331,4.290243847760236e-07,5.807600164664494e-07,1.086127012572824e-05
1.247,-0.7850404966008915,4.290293250191167e-07,5.807925377104005e-07,1.0861672541606637e-05
1.2810000000000001,-0.785029634526059,4.290342521659149e-07,5.80825032444731e-07,1.0862074832473922e-05
1.315,-0.7850187720490451,4.2903916734702424e-07,5.808575032229674e-07,1.0862477013873217e-05
1.349,-0.7850079091699497,4.290440716691983e-07,5.808899524611423e-07,1.0862879095463462e-05
1.383,-0.7849970458888589,4.2904896611732635e-07,5.809223823298286e-07,1.0863281090789378e-05
1.417,-0.7849861822058516,4.290538515635406e-07,5.809547947537019e-07,1.086368300728946e-05
1.451,-0.7849757202477181,1.1275309744862398e-06,-8.168093809960905e-08,1.046195813347861e-05
1.485,-0.785288938088893,0.00033165280659328336,-0.000329706152725319,-0.00031321784117488427
1.5190000000000001,-0.786195070727429,0.0009426429506708,-0.00094194844375,-0.0009061326385360058
1.553,-0.7876943775371021,0.0015528003860923,-0.0015561858221877997,-0.00149930680967314
1.5870000000000002,-0.7897839717627233,0.0021547006021563997,-0.0021677020311235,-0.002089594225621161
1.621,-0.7924529974303844,0.0027330849537511998,-0.0027632962024991,-0.00266902566766114
1.655,-0.7956722785128005,0.0032635210407765012,-0.0033196986977133995,-0.0032192810824160927
1.689,-0.7993631767880182,0.003714849859563999,-0.003805257782844901,-0.0036908982752176245
1.723,-0.8033639327876212,0.0040536702323778016,-0.0041846293554757,-0.004000755999603035
1.7570000000000001,-0.8074661404477548,0.004253407667555997,-0.0044310801066111995,-0.004102207660133584
1.791,-0.8114299056794887,0.004295511204979702,-0.0045210043850555,-0.003963765231733918
1.8250000000000002,-0.8158685351630661,0.004287295259726202,-0.004517485008152702,-0.004438629483577428
1.859,-0.8213740063360043,0.004369376086951697,-0.004660392321053294,-0.005505471172938204
1.893,-0.8281329414286099,0.004576230466629,-0.0049455243551970035,-0.006758935092605611
1.927,-0.8353904736142614,0.004855740162727704,-0.005325174071677,-0.007257532185651505
1.961,-0.8390893836638575,0.005004006195812698,-0.005553369640739603,-0.0036989100495961047
1.995,-0.8402868967514019,0.004997694276479996,-0.005571452222452394,-0.001197513087544344
2.029,-0.8415070788937626,0.004996174381875704,-0.005582315912421601,-0.0012201821423607484
2.063,-0.8427872925390512,0.004937332822573498,-0.005529648775595003,-0.0012802136452885193
2.097,-0.8443850042459016,0.004446440534737001,-0.004995452211064094,-0.0015977117068504134
2.1310000000000002,-0.8444550800177073,0.004457164394660304,-0.005016387690848806,-7.007577180573321e-05
2.165,-0.8444204273277649,0.0045007568763227035,-0.005066941096817504,3.46526899424049e-05
2.199,-0.8435413462201196,0.004805980433046794,-0.0054052680681905,0.0008790811076453409
2.233,-0.8434101201382099,0.0049756615620377,-0.005591968886314802,0.00013122608190963003
2.267,-0.8432735690018237,0.0049694316600285005,-0.0055879617650738955,0.0001365511363862204
2.301,-0.8432918900617892,0.0049392950193151985,-0.005544637340341593,-1.8321059965464848e-05
2.335,-0.8437584093100661,0.004938154565645003,-0.005543731246867509,-0.0004665192482768976
2.369,-0.8434961990814147,0.004884286264022,-0.005485818370778189,0.00026221022865136057
2.403,-0.8436123921929578,0.004696881800798691,-0.0052772053386144074,-0.00011619311154309475
2.437,-0.8437461917657213,0.004702167512052199,-0.0052836705849535065,-0.0001337995727634933
2.471,-0.8443109826374149,0.004800381658145905,-0.005396806244447799,-0.0005647908716935879
2.505,-0.8463731567645181,0.004975606812166397,-0.005607862270226804,-0.002062174127103189
2.539,-0.8484526767772057,0.0049674461914051005,-0.005623249861851781,-0.00207952001268763
2.573,-0.8506468407503008,0.004798272248053598,-0.005454060692679702,-0.0021941639730951312
2.607,-0.8511395083658848,0.004539699074870507,-0.005177045892310411,-0.0004926676155839749
2.641,-0.8530048983720318,0.004692081785395902,-0.00536175511880449,-0.0018653900061469384
2.675,-0.8530547280792299,0.004674607043285789,-0.0053591265010690115,-4.982970719813462e-05
2.709,-0.8520654004469029,0.0046690861102526016,-0.005347587951508387,0.0009893276323269529
2.743,-0.8509416436985346,0.004664180584779798,-0.005332680333829498,0.0011237567483682875
2.777,-0.8494845531120434,0.004656893598942696,-0.005298575054093008,0.0014570905864912385
