Time,Theta_calculated,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
0.43400000000000005,2.3561814729706665,7.266720531044291e-06,-5.138280477046884e-06,5.138414251060289e-06,-0.0002789302430083428,0.0001511298251840096,-0.002506800722257207,-1.711061725834065e-07,1.7110776189164178e-07,-9.288377092177816e-06
0.468,2.356172184593574,-8.566663389771299e-06,6.057410656357304e-06,-6.05768089072847e-06,-0.00020085157907957356,-0.0004754769946190867,0.002344704622485563,2.017137260989853e-07,-2.0171882248443868e-07,-6.6883575833498e-06
0.5,2.356165496235991,-3.419008865987612e-05,2.4175342571454756e-05,-2.4176744489757034e-05,-0.00044708008907626696,-0.0007694722303334782,-0.007394249549450251,8.050433946306441e-07,-8.050811047344473e-07,-1.488776696623969e-05
0.534,2.356150608469024,-6.6722576985867805e-06,4.7177916260404e-06,-4.718205693864315e-06,-0.00012880367919382136,0.000826361290128809,0.009557850146619988,1.5710416940644016e-07,-1.5711454148079826e-07,-4.289162517154252e-06
0.5670000000000001,2.3561463193065073,0.0001832161399587341,-0.00012954713413650042,0.00012955961553816843,0.0004617349301135684,0.005702354284003629,0.017733892171393085,-4.314008894561263e-06,4.314245876313337e-06,1.5375773172781828e-05
0.6010000000000001,2.35616169507968,3.775119240244595e-05,-2.6693248694483894e-05,2.6694999568101266e-05,-0.0004245794079461149,-0.004368316743432076,-0.026616046187978477,-8.888904689206305e-07,8.889381985306768e-07,-1.4138494284605627e-05
0.634,2.3561475565853955,-7.840459100585564e-06,5.54378158965518e-06,-5.544301993412272e-06,2.002574005765755e-05,-0.0013691186637547,0.01335150594605923,1.846103917301358e-07,-1.8462279166063748e-07,6.668571439199965e-07
0.667,2.3561482234425393,-7.464793750382887e-06,5.278162060702498e-06,-5.27865049010788e-06,0.0001534793380869932,1.1281241747828128e-05,0.004007615556436505,1.7576553394044362e-07,-1.757763241991841e-07,5.110861958296874e-06
0.7000000000000001,2.356153334304498,-5.648331423216217e-06,3.9938090728393415e-06,-3.994137823886138e-06,0.00019293388962511273,5.454841823323334e-05,0.0011848213675110968,1.329960007139367e-07,-1.330026310810021e-07,6.4246985245162545e-06
0.7340000000000001,2.356159759003022,-4.170353700828818e-06,2.948782961727451e-06,-2.948987798320383e-06,0.0002128588386164413,4.438371538700899e-05,0.0005983468165564136,9.81960989532936e-08,-9.819966743779688e-08,7.088199325927496e-06
0.768,2.3561668472023483,-2.9457940693153175e-06,2.0829333814978037e-06,-2.083048541694462e-06,0.0002309551139995495,3.677356250791291e-05,0.000543431693186432,6.936285127757067e-08,-6.93643468085669e-08,7.690805296184999e-06
0.8,2.356174538007645,-1.6964687795991133e-06,1.199560643553964e-06,-1.199608512220093e-06,0.00023070105655703847,3.751727596745358e-05,-7.629352627958617e-06,3.9946042867276286e-08,-3.994629003682991e-08,7.682345183349381e-06
0.8330000000000001,2.356182220352828,-6.385054538153288e-07,4.514859964547347e-07,-4.5149707591211966e-07,0.00023370990867100202,3.177067044395749e-05,9.035591933824462e-05,1.50347378964348e-08,-1.503459841519631e-08,7.782539958744367e-06
0.8680000000000001,2.3561900028927862,4.1979207986487136e-07,-2.968364943576195e-07,2.9683915835811396e-07,0.0002407684978181307,3.1780706717123127e-05,0.00021196964405791825,-9.88482355857435e-09,9.88457567555696e-09,8.017590977343752e-06
0.9,2.356198020483764,1.484419100108122e-06,-1.0496465173477563e-06,1.0496391062577331e-06,0.00023064667018918926,3.1970781388686205e-05,-0.0003039587876558989,-3.495381824135506e-08,3.4952393009165304e-08,7.680534117300003e-06
0.934,2.356205701017881,2.6330392331981896e-06,-1.8618607695699272e-06,1.8618190240454064e-06,0.0002245512608501125,3.449309708979182e-05,-0.00018304532549780046,-6.20010024673603e-08,6.199753462211161e-08,7.4775569863087476e-06
0.9680000000000001,2.3562131785748672,4.062741104013507e-06,-2.8728454721833814e-06,2.872738096519823e-06,0.000221497296319651,4.293399011457409e-05,-9.171064656040564e-05,-9.566735225778425e-08,9.566058048731978e-08,7.375859967444379e-06
1.0,2.3562205544348345,5.441820760725227e-06,-3.848048654462684e-06,3.847848066744323e-06,0.0002018255318099663,4.141380350485646e-05,-0.0005907436789695103,-1.2814211869564298e-07,1.281312419767537e-07,6.7207902092718786e-06
1.034,2.356227275225044,7.123237992626137e-06,-5.037055020484291e-06,5.0367247512849504e-06,0.00018534309819183547,5.04930099669943e-05,-0.0004949679765204454,-1.6773663302747172e-07,1.6772023314018045e-07,6.171925169788122e-06
1.068,2.3562334471502133,9.289632320337848e-06,-6.5690179024408375e-06,6.568506104471346e-06,0.00017052952581413303,6.505688671806938e-05,-0.0004448520233544276,-2.1875176444078585e-07,2.1872778465207956e-07,5.67863320961063e-06
1.101,2.356239125783423,-0.0001525649085368784,0.00010788449656340874,-0.00010787486601672292,0.002188501627996453,-0.004860496722438926,0.06059976282829788,3.5927313870345915e-06,-3.592055360643645e-06,7.287710421228188e-05
1.133,2.356312002887636,9.734709735369375e-06,-6.884288115434355e-06,6.8826703230348455e-06,0.00016244200508299555,0.0048738624105780105,-0.06084263131872243,-2.2925039756500182e-07,2.2918931754149222e-07,5.409318769263752e-06
1.167,2.356317412206405,8.285033414117123e-06,-5.8591233919518e-06,5.8576831384874745e-06,0.00019156817470529258,-4.3533823461028564e-05,0.0008746597484173283,-1.9511197024648897e-07,1.950576863969203e-07,6.379220217686244e-06
1.201,2.3563237914266226,6.535275854324325e-06,-4.621735353716625e-06,4.6205403160583294e-06,0.00020675604095765762,-5.254527206584978e-05,0.0004560920796506016,-1.5390631981616124e-07,1.538614592900025e-07,6.88497616389e-06
1.234,2.356330676402786,5.280667140436937e-06,-3.7345040282667105e-06,3.7334869908639198e-06,0.0002241379942820385,-3.767593735397563e-05,0.000521980580311738,-1.243610664565727e-07,1.2432303387253508e-07,7.463795209591882e-06
1.268,2.3563381401979964,4.369194177828794e-06,-3.0899306043865146e-06,3.089042994787968e-06,0.00024586928330225173,-2.7371560438682972e-05,0.0006525912618682654,-1.0289644923065355e-07,1.0286337108811199e-07,8.187447133964983e-06
1.3010000000000002,2.356346327645131,3.4092692724279694e-06,-2.4110834308269162e-06,2.410351356444418e-06,0.0002503424281583901,-2.882657373576049e-05,0.00013432867435850986,-8.02904576184819e-08,8.026332035623215e-08,8.336402857674392e-06
1.333,2.3563546640479878,2.7613131211441097e-06,-1.9528559542700863e-06,1.952230461516902e-06,0.0002595779897358106,-1.9458142681196985e-05,0.0002773441915141287,-6.503123047457016e-08,6.500814678837052e-08,8.643947058202494e-06
1.368,2.3563633079950463,2.3101058792612643e-06,-1.633767271657682e-06,1.6332157467578108e-06,0.00027518007753153114,-1.3549767023508871e-05,0.0004685311650366528,-5.4405407277736264e-08,5.438512689746765e-08,9.163496581799988e-06
1.4,2.3563724714916283,1.8315002659820131e-06,-1.2952967348827262e-06,1.29483573973471e-06,0.0002731246300960589,-1.4372540939316851e-05,-6.172514821237951e-05,-4.313413862261396e-08,4.3117272499756396e-08,9.095050182198763e-06
1.4340000000000002,2.3563815665418097,0.03337675487189449,-0.023605344466677478,0.023596514115183022,-0.00040876954447144814,1.002249951099955,-0.020477302539564774,-0.0007860628512640867,0.0007857590376411115,-1.3612025830899224e-05
1.468,2.3563679545159797,0.06840556465953443,-0.048378428389922595,0.04836164743793244,4.506349483332599e-05,1.051916209839037,0.013628619798942164,-0.0016110238372494666,0.0016104206800976592,1.5006143779497556e-06
1.5,2.3563694551303573,0.10008736925385622,-0.07078483912583278,0.07076007372867651,4.3742156574797624e-05,0.9514055433730267,-3.967982758343448e-05,-0.002357167531495475,0.002356278055177709,1.456613813940761e-06
1.534,2.356370911744171,0.13345052170011418,-0.09438041518096746,0.0943471195760679,4.337726350085649e-05,1.001896469857596,-1.095774996820218e-05,-0.003142910991534118,0.0031417159004605622,1.4444628745785213e-06
1.568,2.3563723562070455,0.17152820824787426,-0.12131033044640138,0.12126718415016911,4.3242549809687656e-05,1.1434740705033057,-4.045456191256313e-06,-0.0040396894773174616,0.004038141738540621,1.439976908662599e-06
1.6,2.356373796183954,0.19468356141732757,-0.1376867478839803,0.1376373806175764,0.06870226366473074,0.6953559510346337,2.061832465913545,-0.004590267127806752,0.004578016314374403,0.002287785380035534
1.633,2.3586615815639895,0.20653979308807796,-0.1464055515131324,0.14568493612931158,0.038800274215578356,0.3560429931156274,-0.8979576411156872,-0.0048785006819982565,0.004848093952933614,0.0012920491313787594
1.6680000000000001,2.359953630695369,0.21279881369354542,-0.15103606314438417,0.14990477890723117,0.039968050200361656,0.1879585767407645,0.03506834789139037,-0.0050328862558125485,0.0049884151784977595,0.0013309360716720433
1.7000000000000002,2.361284566767041,0.20654028388606258,-0.14678752567673295,0.1453007610903597,0.03878101404209093,-0.18794383806254783,-0.03564673147960136,-0.004891210436606354,0.0048352941138224,0.0012914077676016282
1.734,2.362575974534643,0.1952169014845408,-0.13891727312447286,0.13715549516109632,0.06958059784124061,-0.3400415135592126,0.9249124264008912,-0.00463129170554754,0.004561854382478746,0.0023170339081133124
1.767,2.364893008442756,0.2009159667933104,-0.14329944240593612,0.14082789325498837,0.074304583176692,0.17114310236545333,0.14186142148502667,-0.004777729327837275,0.004683598248395887,0.002474342619783844
1.8,2.367367351062539,0.1947933096639921,-0.13926998721996053,0.1361921589138081,0.07491329452210468,-0.18386357745700543,0.018279619982362834,-0.004643401503691309,0.004529349126280576,0.0024946127075860863
1.8330000000000002,2.3698619637701253,0.2179016937218599,-0.15617119000766444,0.1519595588913222,0.09283512084526904,0.6939454672032372,0.5381929826776083,-0.00520837976055679,0.005052139020713911,0.003091409524147459
1.867,2.3729533732942727,0.2244951390518835,-0.16137995821374915,0.15605952884990104,0.10358377165356304,0.1980013612619698,0.3227823065553753,-0.0053829722030678965,0.005187433650063565,0.0034493395960636494
1.9,2.3764027128903367,0.21771061521968427,-0.15702395614954853,0.15080248397980084,0.10280714761729531,-0.2037394544203976,-0.023322043131163015,-0.005237548647890841,0.0050126942298719,0.003423478015655934
1.9340000000000002,2.379826190905993,0.2176084244298371,-0.1574653568669226,0.15019350108979032,0.07236082557796089,-0.0030687924879027593,-0.9143039651451778,-0.005249682106614091,0.004995052888020588,0.0024096154917460978
1.967,2.3822358063977385,0.22446669297770327,-0.16280096572273045,0.15453524457576934,0.07419691896438466,0.2059540104464315,0.05513793953224519,-0.0054276908267395126,0.005139250434834854,0.002470757401514009
2.001,2.384706563799252,0.21805022941492855,-0.15851766138061651,0.14972659609542713,0.07183281959465655,-0.19268659347671852,-0.07099397506691002,-0.005284661120242213,0.0049795087690616465,0.0023920328925020632
2.033,2.3870985966917546,0.19505637420689362,-0.14212161784248725,0.13359803464337988,0.10651446438484238,-0.6905061624034513,1.041490834540115,-0.004740587564559188,0.004440350332462203,0.0035469316640152518
2.068,2.39064552835577,0.20132941576165878,-0.14718044871574568,0.13737339322722802,0.0886145150633767,0.18837962626922394,-0.5375360156596302,-0.004907910689975715,0.004567232222497781,0.0029508633516104445
2.1,2.39359639170738,0.19557523334369287,-0.1433670554687901,0.13302465675072714,0.08515238242032387,-0.17279827080978702,-0.10396794723882359,-0.004780454520954227,0.004422884220044161,0.002835574334596785
2.133,2.396431966041977,0.21724289401865382,-0.1596689544153724,0.14731021688091356,0.13613827607259457,0.6506805007495782,1.5311079174856064,-0.005328140798276515,0.004893292080959346,0.0045334045932174
2.167,2.4009653706351948,0.22490291156419823,-0.1659885692574053,0.15175346620730987,0.11511944183574602,0.2300305569232554,-0.6311962233287853,-0.005537157477930173,0.005042711364022813,0.003833477413130343
2.2,2.4047988480483244,0.21831958995210957,-0.16169330819118977,0.1466925950518505,0.11203860059482411,-0.19769734570836817,-0.09251775498263988,-0.005393550549665549,0.004874737620048431,0.0037308853998076433
2.233,2.408529733448132,0.21803539232406136,-0.16202827952644128,0.14589814577166074,0.07608144664793746,-0.008534463304751067,-1.0797944128194186,-0.005401753504603448,0.004851497909710851,0.002533512173376318
2.268,2.4110632456215093,0.22433447554737287,-0.16708908490733054,0.14969032909291677,0.07599890563439984,0.18916165835770327,-0.0024787091152438704,-0.005570432912540591,0.004977569462057424,0.002530763557625515
2.3,2.4135940091791346,0.21741881177325773,-0.16230478501300155,0.14466546400153227,0.07652976597969594,-0.20767759081426873,0.015941752110993735,-0.005410944485147527,0.004810397462523121,0.0025484412071238747
2.333,2.4161424503862587,0.20619267292625096,-0.15427352292448215,0.13680313773061342,0.1351780905380621,-0.3371212866968999,1.7612109476986832,-0.005147603329286244,0.0045438994961755075,0.004501430414917468
2.367,2.420643880801176,0.21221511365973955,-0.15941170337296004,0.14008270162067687,0.08242359996619297,0.18085407608073853,-1.5842189360921657,-0.0053148653688253914,0.00465739391555448,0.002744705878874226
2.4,2.4233885866800495,0.20609821186168215,-0.15518963015131385,0.13561951049196885,0.07960268689489675,-0.18369074468640856,-0.08471210424312994,-0.0051738529356942335,0.004509207723058092,0.002650769473600062
2.433,2.42603935615365,0.20627426519997338,-0.15568145336487263,0.13532315973989797,0.003844359499613856,0.005286887035772903,-2.275024846705192,-0.00518453947652972,0.004505861886285268,0.0001280171713371414
2.467,2.4261673733249873,0.21268274579503715,-0.1605359889035699,0.13950679777584057,0.003288163669656596,0.19244686471662972,-0.016702577476193987,-0.005346163223715442,0.004645214090745754,0.00010949585019956466
2.5,2.4262768691751866,0.20660275631482192,-0.15596156338544187,0.13550162236390564,0.0027663776892716415,-0.1825822666731302,-0.015669248660208843,-0.005193786619168841,0.004511897195538609,9.212037705274567e-05
2.533,2.4263689895522393,0.21767520791102402,-0.16433315469644882,0.1427484164767531,0.1459900707804283,0.33250605394000293,4.301011804539239,-0.005483888728617455,0.0047401304913477675,0.004861469356988263
2.567,2.431230458909228,0.22463876646161862,-0.17030443005189536,0.1464888272261633,0.011920548937176093,0.20911587239022839,-4.026111767064631,-0.005672169042626403,0.0048768783919155186,0.00039695427960796393
2.6,2.431627413188836,0.21852170932429477,-0.16572348447908358,0.1424340694431024,0.011038135333678449,-0.1836954095292449,-0.026498907011941273,-0.005519525338649769,0.00474196832300211,0.00036756990661149236
2.633,2.4319949830954473,0.2069658814353436,-0.15700929861461688,0.134844192410555,0.05752040289329639,-0.34702185852706163,1.3958638906792173,-0.005232765268685161,0.004485233422572969,0.0019154294163467702
2.667,2.4339104125117945,0.21318175207758822,-0.16199055251466724,0.1385839828943559,0.05719714173564256,0.18666278204938747,-0.009707542271886868,-0.005398737009021028,0.004609636412705751,0.0019046648197968974
2.701,2.4358150773315908,0.20678283597210503,-0.15738395199624958,0.13412469163695664,0.054835860286333485,-0.19215964280730274,-0.07090935283210437,-0.005245018620384305,0.004461496457511101,0.0018260341475349051
2.733,2.4376411114791257,0.2059356151343525,-0.1569827772819313,0.13328872877184966,-0.000262646071345194,-0.025442067199776083,-1.6546098005308911,-0.005227564850601698,0.004438469480416301,-8.746114175794962e-06
2.767,2.4376323653649496,0.20085833085344232,-0.15311127433452956,0.13000387203805633,0.04574497746711547,-0.15247099942673187,1.38161031647029,-0.005101957062901671,0.004325177479826033,0.0015233077496549453
2.801,2.4391556731146053,0.19484707521710448,-0.14872092159913405,0.12588673559737817,0.04343400545426102,-0.1805181872774125,-0.06939855894457801,-0.004955491058594265,0.004188380865467048,0.0014463523816268921
