Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,Time
3.734988416326246e-07,-4.673978866544087e-07,-4.555180763438933e-06,-4.555180763438615e-06,-1.7013547385716164e-12,4.020671740490534e-06,4.386200632170143e-05,-8.779137766295859e-05,-6.019595149009405e-07,-5.971827476969336e-10,9.95670145481559e-08,-1.51687519422504e-07,-6.125565517580846e-14,1.3388836895833477e-07,-2.0819112554329143e-05,0.492
5.07387210912924e-07,-3.644937537170621e-07,-4.071869722280567e-06,-4.071869722280043e-06,-2.066014621588631e-12,8.634156415858099e-06,1.4513845079830815e-05,0.0001385430833443,-9.429515350767304e-07,-3.825566530224478e-10,1.0290413293734657e-07,-1.355932617519169e-07,-8.330179732949077e-14,2.875174086480747e-07,-3.0513584200146847e-05,0.526
7.949046194610787e-07,-2.7919156974219054e-06,9.32986444410175e-06,9.329864444098802e-06,7.416352345561368e-12,-8.276266869531232e-05,0.0004024544794709,-0.0027446494027378,5.1409338563956914e-08,3.722382351245557e-07,-2.4274219437048427e-06,3.106844859884303e-07,-1.9263985035385906e-13,-2.7559968675539004e-06,3.793445283149331e-05,0.56
-1.961092248148333e-06,-4.116038317746027e-06,1.1023749617329064e-05,1.1023749617307864e-05,-2.1618589920058318e-11,-1.117869786127435e-05,5.086742261943886e-05,0.0021496687938149,1.1680569600436288e-07,5.8455660312262125e-09,-1.3241226203241217e-06,3.6709086225618e-07,-8.018565623715593e-13,-3.722506387804359e-07,-3.119871954321517e-07,0.5940000000000001
-2.333342886906564e-06,-3.8690663475099375e-06,3.2702411561507665e-07,3.270241156141864e-07,-7.630593940166566e-13,2.972367783836404e-06,-0.0003212229880394,0.0004249569262796,-3.3461358128761276e-09,1.5499542982411185e-08,2.4697197023608936e-07,1.0889903049952708e-08,-2.528470025840809e-14,9.897984720175225e-08,1.195235573108455e-07,0.628
-2.234363039921305e-06,-3.573539864223242e-06,-6.872089163989114e-08,-6.872089163971962e-08,1.5354742035048206e-13,7.344636609607091e-06,-1.1884234452101134e-05,0.0001312993641372,-3.187976993501706e-09,1.8709651161685773e-08,2.955264832866957e-07,-2.288405691603086e-09,4.917642529554956e-15,2.4457639909991616e-07,1.195235573108455e-07,0.662
-1.9897866407880827e-06,-3.267962854065412e-06,-6.027458292239034e-08,-6.027458292227101e-08,1.1993355987796674e-13,7.790783822874485e-06,2.536429044294536e-07,1.3397814212234072e-05,-3.2905216329481846e-09,1.9374305493258248e-08,3.0557701015783053e-07,-2.0071436113119832e-09,3.807685070860341e-15,2.594331013017204e-07,7.876867014861074e-08,0.6960000000000001
-1.730353539564078e-06,-2.960946123539849e-06,-4.9631992769892745e-08,-4.963199276981845e-08,8.588089436495978e-14,7.969990979496223e-06,3.195973018768046e-07,5.381596294947071e-06,-3.305194118397025e-09,1.9469512002601164e-08,3.070167305255625e-07,-1.652745359235215e-09,2.7012048700344536e-15,2.6540069961722426e-07,7.813996792880795e-08,0.7300000000000001
-1.4649528399246492e-06,-2.6537183536876816e-06,-4.177630293752229e-08,-4.177630293747746e-08,6.120031362985385e-14,8.302142940086765e-06,2.359066015726863e-07,9.974533351067334e-06,-3.307316642775504e-09,1.9483467283976097e-08,3.072277698521673e-07,-1.391150887818194e-09,1.89722006305969e-15,2.764613599048893e-07,7.813996792880795e-08,0.764
-1.1884914798976354e-06,-2.3464589774697044e-06,-3.272334775522645e-08,-3.2723347755203335e-08,3.889142000080489e-14,8.114188228732418e-06,2.7186051598486005e-07,-5.644285626256673e-06,-3.307641494032509e-09,1.948555539144081e-08,3.072593762179772e-07,-1.089687480248389e-09,1.1882937092194665e-15,2.702024680167896e-07,7.788540744167848e-08,0.798
-9.182890119419084e-07,-2.0391942283676302e-06,-2.5852308202087696e-08,-2.58523082020768e-08,2.373989055530948e-14,8.150465321173537e-06,2.063375241182809e-07,1.089402175408978e-06,-3.3077027783434683e-09,1.9485909330541066e-08,3.0726474910207375e-07,-8.608818631292282e-10,7.053555696433105e-16,2.714104951950788e-07,7.788224104152826e-08,0.8320000000000001
-6.468785165303359e-07,-1.7319279385612648e-06,-1.9988483581025385e-08,-1.9988483581021203e-08,1.2930120606583775e-14,8.419199106648336e-06,1.7609082946133064e-07,8.070083647891858e-06,-3.3077249828039604e-09,1.9486008584479464e-08,3.0726628980636585e-07,-6.65616503248045e-10,3.6216462694584544e-16,2.803593302513896e-07,7.788224104152826e-08,0.8660000000000001
-3.665191865565021e-07,-1.4246606800507464e-06,-1.31970353364038e-08,-1.319703533640291e-08,4.836966656456026e-15,8.178460015824036e-06,2.0394739473338094e-07,-7.229402126855845e-06,-3.307741858193935e-09,1.9486071201058053e-08,3.072672585105185e-07,-4.3946127670222944e-10,1.173427804328897e-16,2.7234271852694044e-07,7.788303226165208e-08,0.9
-9.417646795739645e-08,-1.117392539640648e-06,-7.0798923080506966e-09,-7.079892308050665e-09,6.66759251090953e-16,8.171644614227641e-06,1.8369798883943249e-07,-2.046667146064563e-07,-3.307757623360885e-09,1.9486126934253892e-08,3.072681404100985e-07,-2.3576041385808736e-10,-1.1542733180411105e-18,2.721157656537805e-07,7.788373151064612e-08,0.934
1.7793929796283694e-07,-8.101235419111113e-07,-6.244440800276253e-10,-6.244440800276156e-10,-1.1111314121716462e-16,8.397432796172603e-06,1.9385730414483695e-07,6.780425884233081e-06,-3.307772944438625e-09,1.9486181335182096e-08,3.0726899772953655e-07,-2.079398786491904e-11,-5.8368248240860224e-18,2.796345121125477e-07,7.788471543068058e-08,0.968
4.5757380995326e-07,-5.028536962818359e-07,6.410988296790987e-09,6.4109882967903174e-09,2.9335003405283108e-15,8.113584284410427e-06,2.112742455501085e-07,-8.523979332197463e-06,-3.3077887096055747e-09,1.9486235736110306e-08,3.072698456292755e-07,2.1348591028310632e-10,1.1860395011881418e-16,2.701823566708673e-07,7.788471543068058e-08,1.002
7.277561664409404e-07,-1.9558300877997842e-07,1.4181084894959426e-08,1.4181084894955673e-08,1.0320371979128288e-14,8.059408471925653e-06,2.333362341792325e-07,-1.6269012758190414e-06,-3.307803808638709e-09,1.948628858272628e-08,3.072706875018575e-07,4.722301270019873e-10,3.895306837551025e-16,2.683783021151243e-07,7.788514789139548e-08,1.036
9.961344686892917e-07,1.1168850890799737e-07,2.40567290212503e-08,2.4056729021238373e-08,2.3963736981981463e-14,8.224344436211404e-06,2.965658896784046e-07,4.953031960533066e-06,-3.307819129716449e-09,1.9486341429342253e-08,3.072715176879757e-07,8.010890764071512e-10,8.784413793140719e-16,2.738706697258398e-07,7.788514789139548e-08,1.07
1.2700051383873756e-06,4.189608512117815e-07,3.4321900236803845e-08,3.4321900236776165e-08,4.3588989659948045e-14,7.877996290852597e-06,3.082633998664726e-07,-1.0400845205970192e-05,-3.307834672838794e-09,1.94863931657352e-08,3.072723423037842e-07,1.1429192778845006e-09,1.558928109243104e-15,2.623372764853915e-07,7.788510269498501e-08,1.104
1.5323424147339892e-06,7.262340215668818e-07,4.758821825090064e-08,4.7588218250844776e-08,7.292144526744465e-14,7.740314842028147e-06,3.983879283512553e-07,-4.1345780427762565e-06,-3.307849549827324e-09,1.9486445124172756e-08,3.072731703551004e-07,1.584687667752897e-09,2.5739942990077146e-15,2.577524842395373e-07,7.78849124393294e-08,1.138
1.7900948989790777e-06,1.0335079982656951e-06,6.642344444244044e-08,6.6423444442334e-08,1.189042690689693e-13,7.78331918635797e-06,5.656224081543484e-07,1.291421751646302e-06,-3.307864648860459e-09,1.9486496416476484e-08,3.072739766988136e-07,2.2119006999293406e-09,4.1631957748972574e-15,2.591845289057204e-07,7.78849124393294e-08,1.172
2.049279427929207e-06,1.3407827892906503e-06,8.59504834472225e-08,8.595048344704202e-08,1.7613655754883961e-13,7.308052704032493e-06,5.863975677111728e-07,-1.427226673650079e-05,-3.3078801919828042e-09,1.9486547042646407e-08,3.072747910249552e-07,2.862151098785988e-09,6.108254173124481e-15,2.4335815504428204e-07,7.788462760839565e-08,1.206
2.2926375828902223e-06,1.6480583784169077e-06,1.1307414192161489e-07,1.130741419213177e-07,2.5923802742233e-13,6.988372062214434e-06,8.145242785102817e-07,-9.600019273815572e-06,-3.3078952910159383e-09,1.948659722472712e-08,3.072755891262572e-07,3.765368925979176e-09,8.931586974119007e-15,2.327127896717407e-07,7.788378253403557e-08,1.24
2.5253503728173143e-06,1.9553347611572635e-06,1.5274966524880705e-07,1.5274966524831998e-07,3.8574642408338483e-13,6.765072360162074e-06,1.191457156972738e-06,-6.705696758329135e-06,-3.3079097239152593e-09,1.9486647406807843e-08,3.0727638274035586e-07,5.086563852768055e-09,1.3230840580462423e-14,2.252769095933971e-07,7.788378253403557e-08,1.274
2.750627282388507e-06,2.262611935781676e-06,1.92362751473464e-07,1.923627514727363e-07,5.291182323175629e-13,6.030444512119017e-06,1.189582168908617e-06,-2.2060896337629345e-05,-3.3079252670376036e-09,1.9486696700710133e-08,3.072771746244129e-07,6.4056796240409805e-09,1.8026012455048792e-14,2.008138022535633e-07,7.78825809871627e-08,1.308
2.9514410844200256e-06,2.5698899027766303e-06,2.447468599758612e-07,2.447468599747952e-07,7.223559378145034e-13,5.389499581355552e-06,1.5730963514233378e-06,-1.9247595518422366e-05,-3.3079399219815286e-09,1.9486745772567812e-08,3.072779669949541e-07,8.150070437159388e-09,2.44826032093334e-14,1.794703360591399e-07,7.788188007216584e-08,1.342
3.130911420790028e-06,2.877168622175487e-06,3.142872613611021e-07,3.142872613595617e-07,9.840055760026873e-13,4.789330216698868e-06,2.088300341899126e-06,-1.8023104043744272e-05,-3.307954798970058e-09,1.94867946223809e-08,3.0727871939885685e-07,1.0465765803271988e-08,3.321481353127042e-14,1.5948469621607237e-07,7.788188007216584e-08,1.376
3.29039611690618e-06,5.452730474410221e-06,-3.823605412589825e-06,-3.823605412569127e-06,-1.2581176402144311e-11,5.626803994512424e-05,-0.0001242610412597,0.0015459071990518,0.0001797226913942,1.6898852805979916e-07,2.5755618522347345e-06,-1.2732606023810476e-07,-5.335284973482871e-13,1.8737257301726373e-06,7.78811030507248e-08,1.41
4.471112538428912e-06,-0.000187271275733,0.0947337737941514,0.0947337737932045,4.235653638223074e-07,-0.0669514369258377,0.7905519715905239,-2.010606690540607,0.0028300585824767,-3.272534525589066e-07,-0.0001916049725626,0.0031546320695066,-3.5026124948733498e-06,-0.0022294828496303,0.0785407941845324,1.512
-0.0022250117370918,-0.0048015369144713,0.1147486315677431,0.1147483475261415,-0.0002553168413881,-0.3170776556087084,0.6010467799877404,-7.511297858344464,0.0034776790282757,-6.080947820619187e-06,-0.0046142656387382,0.0038210040869963,-2.867484965424328e-05,-0.0105586859317699,0.0987859029293986,1.546
-0.012783697668862,-0.0147881470249727,0.1182343888493641,0.1182247278760389,-0.0015114315132346,-0.3265792723996772,0.1046773958444751,-0.2853338375666317,0.0039563974486231,-3.5227221260036856e-05,-0.0099866101105014,0.0039365321625554,-7.173659239472181e-05,-0.0108750897709092,0.0987859029293986,1.58
-0.0236587874397713,-0.0277729157396735,0.1148154231074461,0.1147832913158123,-0.0027161402856356,-0.3172848460210649,-0.1026716439014417,0.2791119032616315,0.0040537185086304,-8.143441756769398e-05,-0.0129847687147008,0.0038217346717217,-0.0001106380741375,-0.0105655853725014,0.1144978730749626,1.614
-0.0342243728122726,-0.0419433895755973,0.1148318383453973,0.1147645932016036,-0.0039292804753413,-0.4128432207846338,0.0004929500886227,-2.86962086377084,0.0040658276846705,-0.0001381145835521,-0.0141704738359237,0.0038206411738013,-0.0001571101304044,-0.0137476792521283,0.1196661329385242,1.648
-0.0479720520644009,-0.0561087364269895,0.118352229870234,0.1182160729395276,-0.0056754219237852,-0.4255433463132245,0.1057174632083088,-0.3813851510087274,0.0040633540142502,-0.0001957049290426,-0.0141653468513921,0.0039351244349109,-0.0002168768491419,-0.0141705934322303,0.1196661329385242,1.682
-0.0621426454966314,-0.0710174255044779,0.1148696596797343,0.1146479344824531,-0.0071337110850607,-0.4128851018771992,-0.1045816874023926,0.380127460541299,0.0038612719516217,-0.0002401257163844,-0.0149086890774883,0.0038160228878711,-0.000263790266246,-0.0137490738925107,0.1196570895565868,1.7160000000000002
-0.0758917193891419,-0.0881845697431963,0.0946319825359785,0.0943595943469674,-0.0071748918713455,-0.3841180414047044,-0.6077380523650389,0.863875689864708,0.0035317555649931,-0.0002769956948096,-0.0171671442387184,0.0031405607668377,-0.0002590132088254,-0.0127911307787766,0.1044615913247972,1.75
-0.1137150579653361,-0.1226851511623014,0.114801178563749,0.114059724479142,-0.0130265057236389,-0.7294114872623847,-0.103972337076131,0.6698638021623864,0.003645473914819,-0.0004187535397497,-0.015949789790283,0.0037925474440462,-0.0004798657294986,-0.0242894025258374,0.1051945340398361,1.818
-0.1772208836576427,-0.1577334756111419,0.1492074844487109,0.1468705127952724,-0.0263044841570032,-0.7606092348647812,-0.1353662264970791,0.697393941768369,0.0039291454459304,-0.0005979302326162,-0.0118830002007901,0.0048791727048624,-0.0009377801823884,-0.0253282875209972,0.1242886443699167,1.92
-0.2572861870388316,-0.2113502418219084,0.1147299180494403,0.1109534780701063,-0.029193831536435,-0.5975353855645656,-0.0005070907035175,1.3163318234733512,0.004040842438667,-0.000818620516036,-0.0205582115613257,0.0036848353662181,-0.0010088483080231,-0.0198979283393,0.1218493250762936,2.022
-0.2771841153781316,-0.2319307256715815,0.1182162575276567,0.1137039208362138,-0.0323496820744391,-0.615775839756792,0.1046948792257177,-0.5477613871539431,0.0040158952282027,-0.0008995921507677,-0.0205804838496731,0.003775030946419,-0.0011159877945895,-0.0205053354639011,0.1211799801874706,2.056
