Time,Theta_calculated,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
0.511,4.6247869947002593e-07,-4.555180763438933e-06,-4.555180763438446e-06,-2.1066740753260427e-12,4.020671740490534e-06,4.386200632170143e-05,-8.779137766295859e-05,-1.5168751942251603e-07,-1.018831225716732e-14,1.3388836895833477e-07
0.544,5.963670684283606e-07,-4.071869722280567e-06,-4.071869722279843e-06,-2.428329009298521e-12,8.634156415858099e-06,1.4513845079830815e-05,0.0001385430833443713,-1.355932617519372e-07,-3.764550111873277e-14,2.875174086480747e-07
0.5790000000000001,8.838844770764354e-07,9.32986444410175e-06,9.329864444098105e-06,8.246522355367828e-12,-8.276266869531232e-05,0.0004024544794709404,-0.00274464940273785,3.106844859883478e-07,-2.9719502900875367e-13,-2.7559968675539004e-06
0.611,-1.872112390477465e-06,1.1023749617329064e-05,1.1023749617309746e-05,-2.0637698248110897e-11,-1.117869786127435e-05,5.086742261943886e-05,0.002149668793814954,3.6709086225588933e-07,-9.253538592523783e-13,-3.722506387804359e-07
0.644,-2.2443630292579005e-06,3.2702411561507665e-07,3.27024115614253e-07,-7.339608347616231e-13,2.9723677838364034e-06,-0.00032122298803945903,0.00042495692627960216,1.088990304994362e-08,-2.893693474017816e-14,9.897984720175224e-08
0.679,-2.1453831820561486e-06,-6.872089163989114e-08,-6.872089163973299e-08,1.4743264518001233e-13,7.344636609607091e-06,-1.1884234452101134e-05,0.00013129936413725784,-2.288405691601299e-09,5.688426381884862e-15,2.4457639909991616e-07
0.7120000000000001,-1.9008067829562328e-06,-6.027458292239034e-08,-6.027458292228146e-08,1.1457033605866848e-13,7.790783822874485e-06,2.536429044294536e-07,1.3397814212234072e-05,-2.007143611310589e-09,4.48281262910447e-15,2.594331013017204e-07
0.745,-1.6413736816545123e-06,-4.9631992769892745e-08,-4.963199276982589e-08,8.146464670053241e-14,7.969990979496223e-06,3.195973018768046e-07,5.381596294947071e-06,-1.6527453592342116e-09,3.257762310622561e-15,2.6540069961722426e-07
0.779,-1.3759729820372884e-06,-4.177630293752229e-08,-4.1776302937482745e-08,5.748306413141754e-14,8.302142940086765e-06,2.3590660157268629e-07,9.974533351067334e-06,-1.391150887817476e-09,2.3653797841562804e-15,2.764613599048893e-07
0.812,-1.0995116221323987e-06,-3.272334775522645e-08,-3.272334775520667e-08,3.5979701171944375e-14,8.114188228732418e-06,2.7186051598486005e-07,-5.644285626256673e-06,-1.0896874802479287e-09,1.5549902231044485e-15,2.7020246801678955e-07
0.8450000000000001,-8.293091541156092e-07,-2.5852308202087696e-08,-2.5852308202078805e-08,2.1439555847006914e-14,8.150465321173537e-06,2.063375241182809e-07,1.089402175408978e-06,-8.60881863128942e-10,9.951746579191191e-16,2.714104951950788e-07
