Time,yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw
0.43200000000000005,-6.120199027432077e-07,0.0,0.0,0.0
0.466,-6.096128626281566e-07,-1.5011866660863404e-07,-5.47809908546526e-09,2.407040115051098e-09
0.5,-5.121582616823757e-07,-4.4774652629975265e-07,-7.387301881323083e-10,9.745460094578087e-08
0.534,-4.0999906225610346e-07,-7.926343670305869e-07,-4.290534594275641e-10,1.0215919942627226e-07
0.5680000000000001,-1.0893397275069997e-06,-9.688270201646532e-07,9.263777989154676e-08,-6.793406652508962e-07
0.6020000000000001,-4.1302246175577844e-06,6.793284099693153e-07,2.84495182523159e-07,-3.0408848900507847e-06
0.636,-3.986798797306228e-06,-2.2514825559483143e-09,8.870161938290266e-09,1.4342582025155633e-07
0.67,-3.7064430672542236e-06,-3.131363390806996e-09,1.770616520069268e-08,2.8035573005200446e-07
0.7040000000000001,-3.4031347405163537e-06,-3.2649649650551282e-09,1.9224290603858663e-08,3.0330832673786993e-07
0.7380000000000001,-3.0964470909420176e-06,-3.301947604228417e-09,1.944775029905088e-08,3.0668764957433614e-07
0.772,-2.789267763552517e-06,-3.306824813975595e-09,1.948026406850545e-08,3.0717932738950076e-07
0.806,-2.482015812401538e-06,-3.3075635563761807e-09,1.9485065116953137e-08,3.0725195115097884e-07
0.8400000000000001,-2.17475247824589e-06,-3.3076854588642846e-09,1.9485816515896204e-08,3.07263334155648e-07
0.874,-1.8674867274714951e-06,-3.307716989198184e-09,1.948597372347649e-08,3.0726575077439486e-07
0.908,-1.5602198768345413e-06,-3.307734308677368e-09,1.9486044777750067e-08,3.072668506369538e-07
0.9420000000000001,-1.2529521198937995e-06,-3.3077502958889227e-09,1.9486103397525767e-08,3.0726775694074183e-07
0.9760000000000001,-9.456835019012103e-07,-3.307766505145082e-09,1.948615757640937e-08,3.072686179925892e-07
1.01,-6.38414025098194e-07,-3.307782048267427e-09,1.9486211533248365e-08,3.072694768030163e-07
1.044,-3.311437087438108e-07,-3.307797147300562e-09,1.9486265268042757e-08,3.0727031635438324e-07
1.078,-2.3872556993377234e-08,-3.3078124683783017e-09,1.948631811465873e-08,3.0727115175043357e-07
1.112,2.833994220684245e-07,-3.3078277894560415e-09,1.9486370517185492e-08,3.0727197906180175e-07
1.146,5.906722285066822e-07,-3.3078431105337813e-09,1.9486422475623044e-08,3.0727280643825764e-07
1.18,8.979458522778626e-07,-3.3078582095669162e-09,1.9486473989971387e-08,3.0727362377118044e-07
1.214,1.205220283030843e-06,-3.307873308600051e-09,1.9486524394096705e-08,3.072744307529803e-07
1.248,1.5124955201219933e-06,-3.307888407633186e-09,1.9486575464355838e-08,3.0727523709115034e-07
1.282,1.8197715538160226e-06,-3.307903728710926e-09,1.9486624536213526e-08,3.0727603369402935e-07
1.316,2.127048383456905e-06,-3.307918161610246e-09,1.948667471829424e-08,3.072768296408822e-07
1.35,2.434325996953874e-06,-3.307933260643381e-09,1.9486724012196532e-08,3.0727761349696906e-07
1.384,4.174259991801143e-06,1.2118303188257684e-05,1.1399483579310754e-07,1.7399339948472688e-06
1.4180000000000001,5.1167344547502504e-06,0.0005970921170117549,6.116852757642732e-08,9.424744629491077e-07
1.452,4.555370616539029e-06,0.0015057419097432856,-3.815642934945629e-08,-5.613638382112218e-07
1.486,2.973464044178463e-06,0.0024150678709553564,-1.0561266305941786e-07,-1.5819065723605656e-06
1.52,-0.0018708407506305108,0.0032117628387833275,-1.524887551118681e-06,-0.0018738142146746892
1.554,-0.009655131922576807,0.003759877479541762,-1.821789043310318e-05,-0.007784291171946295
1.588,-0.02109137928820929,0.004039525708156688,-5.825097531975132e-05,-0.011436247365632483
1.6219999999999999,-0.03526300972182882,0.004066817787438559,-0.00011086090293255246,-0.014171630433619527
1.6560000000000001,-0.04942870275085602,0.004064696745135876,-0.00016856108616303267,-0.014165693029027203
1.69,-0.06372040668428307,0.004026488835869202,-0.00022376188446671108,-0.014291703933427047
1.7240000000000002,-0.07965903278465655,0.0036160937213502997,-0.00025454409223413244,-0.015938626100373485
1.758,-0.09797160604228698,0.0035523143220856923,-0.0003113374810657099,-0.01831257325763043
1.792,-0.1162804049342025,0.0035647725350904658,-0.00037826852182099024,-0.018308798891915515
