Time,Theta_calculated,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
0.34800000000000003,2.6777673791666954e-07,-4.071869722280567e-06,-4.071869722280421e-06,-1.0903519914539324e-12,8.634156415858099e-06,1.4513845079830815e-05,0.0001385430833443713,-1.3559326175194101e-07,-1.947722728257106e-14,2.875174086480747e-07
0.383,5.552941465647442e-07,9.32986444410175e-06,9.329864444100311e-06,5.180819114051966e-12,-8.276266869531232e-05,0.0004024544794709404,-0.00274464940273785,3.106844859883053e-07,-3.3879682621355016e-13,-2.7559968675539004e-06
0.41600000000000004,-2.2007027209891563e-06,1.1023749617329064e-05,1.102374961730237e-05,-2.425999577833966e-11,-1.117869786127435e-05,5.086742261943886e-05,0.002149668793814954,3.670908622557624e-07,-9.746213979016412e-13,-3.722506387804359e-07
0.449,-2.572953359769592e-06,3.2702411561507665e-07,3.270241156139942e-07,-8.414177969965626e-13,2.9723677838364034e-06,-0.00032122298803945903,0.00042495692627960216,1.0889903049939659e-08,-3.041492929634597e-14,9.897984720175224e-08
0.48300000000000004,-2.47397351256784e-06,-6.872089163989114e-08,-6.872089163968084e-08,1.7001366567696197e-13,7.344636609607091e-06,-1.1884234452101134e-05,0.00013129936413725784,-2.288405691600518e-09,5.993831304506146e-15,2.4457639909991616e-07
0.516,-2.229397113467924e-06,-6.027458292239034e-08,-6.027458292224055e-08,1.3437598118254874e-13,7.790783822874485e-06,2.536429044294536e-07,1.3397814212234072e-05,-2.00714361130997e-09,4.751661135122807e-15,2.594331013017204e-07
0.549,-1.969964012166203e-06,-4.9631992769892745e-08,-4.963199276979644e-08,9.777323960871865e-14,7.969990979496223e-06,3.195973018768046e-07,5.381596294947071e-06,-1.6527453592337593e-09,3.479002535452616e-15,2.6540069961722426e-07
0.5830000000000001,-1.7045633125489801e-06,-4.177630293752229e-08,-4.177630293746159e-08,7.12103533211982e-14,8.302142940086765e-06,2.3590660157268629e-07,9.974533351067334e-06,-1.3911508878171489e-09,2.5519732768129165e-15,2.764613599048893e-07
0.616,-1.4281019526440904e-06,-3.272334775522645e-08,-3.272334775519308e-08,4.673227682627462e-14,8.114188228732418e-06,2.7186051598486005e-07,-5.644285626256673e-06,-1.0896874802477101e-09,1.7005047127413463e-15,2.7020246801678955e-07
0.649,-1.157899484627301e-06,-2.5852308202087696e-08,-2.5852308202070365e-08,2.99343743436168e-14,8.150465321173537e-06,2.063375241182809e-07,1.089402175408978e-06,-8.60881863128801e-10,1.1103275641963845e-15,2.714104951950788e-07
0.683,-8.864889894322222e-07,-1.9988483581025385e-08,-1.998848358101753e-08,1.7719570610023438e-14,8.419199106648336e-06,1.7609082946133062e-07,8.070083647891858e-06,-6.656165032478013e-10,6.750390171821762e-16,2.803593302513896e-07
0.7160000000000001,-6.061296591808326e-07,-1.3197035336403799e-08,-1.3197035336401374e-08,7.999114530651347e-15,8.178460015824036e-06,2.0394739473338094e-07,-7.229402126855845e-06,-4.3946127670212557e-10,3.242602024176037e-16,2.7234271852694044e-07
0.749,-3.337869406538921e-07,-7.0798923080506966e-09,-7.079892308050303e-09,2.3631755936632214e-15,8.171644614227641e-06,1.8369798883943249e-07,-2.046667146064563e-07,-2.3576041385806197e-10,1.097521546570756e-16,2.721157656537805e-07
