Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,Time,odom_world_velocity_x,odom_world_velocity_y,odom_angular_velocity,odom_yaw_world
3.734988417547491e-07,-4.673978866544042e-07,-4.555180763438933e-06,-4.555180763438616e-06,-1.7013547391279158e-12,4.020671740490534e-06,4.386200632170143e-05,-8.779137766295859e-05,-6.019595149009405e-07,-5.971827476969337e-10,9.956701454816149e-08,-1.51687519422504e-07,-6.112987354300394e-14,1.3388836895833477e-07,-2.0819112554329143e-05,0.492,-2.0819112554326785e-05,9.918364889958508e-12,4.5836464189652864e-06,-4.764067086950088e-07
5.073872107130838e-07,-3.644937537170627e-07,-4.071869722280567e-06,-4.071869722280043e-06,-2.066014620774907e-12,8.634156415858099e-06,1.4513845079830815e-05,0.0001385430833443,-9.429515350767304e-07,-3.825566530224478e-10,1.0290413293734154e-07,-1.355932617519169e-07,-8.330179732949075e-14,2.875174086480747e-07,-3.0513584200146847e-05,0.526,-3.051358420014468e-05,1.1492476053563389e-11,5.568927205246136e-06,-3.766347466158484e-07
7.949046193611587e-07,-2.791915697421905e-06,9.32986444410175e-06,9.329864444098802e-06,7.416352344629127e-12,-8.276266869531232e-05,0.0004024544794709,-0.0027446494027378,5.1409338563956914e-08,3.722382351245557e-07,-2.427421943704842e-06,3.106844859884303e-07,-1.926523659366523e-13,-2.7559968675539004e-06,3.793445283149331e-05,0.56,3.79344528313943e-05,-8.66692268789248e-11,-0.0001435647341304,-2.284710083047438e-06
-1.961092248192742e-06,-4.116038317746027e-06,1.1023749617329064e-05,1.1023749617307866e-05,-2.161858992054788e-11,-1.117869786127435e-05,5.086742261943886e-05,0.0021496687938149,1.1680569600436287e-07,5.8455660312262125e-09,-1.3241226203241223e-06,3.6709086225618e-07,-8.018565623715593e-13,-3.722506387804359e-07,-3.119871954321517e-07,0.5940000000000001,-3.1198719542944546e-07,1.299466074769732e-12,1.2081453893722912e-05,-4.165126305820093e-06
-2.333342886973177e-06,-3.8690663475099375e-06,3.2702411561507665e-07,3.270241156141864e-07,-7.630593940384407e-13,2.9723677838364038e-06,-0.0003212229880394,0.0004249569262796,-3.3461358128761276e-09,1.5499542982411185e-08,2.469719702360894e-07,1.0889903049952708e-08,-2.5284700258408094e-14,9.897984720175225e-08,1.195235573108455e-07,0.628,1.1952355730992794e-07,-4.683350785137771e-13,8.522468917159168e-06,-3.918349562647087e-06
-2.234363039771425e-06,-3.57353986422324e-06,-6.872089163989114e-08,-6.872089163971962e-08,1.5354742034018216e-13,7.344636609607091e-06,-1.1884234452101134e-05,0.0001312993641372,-3.187976993501706e-09,1.8709651161685773e-08,2.9552648328669736e-07,-2.288405691603086e-09,4.917642529554956e-15,2.4457639909991616e-07,7.876867014861074e-08,0.662,7.876867014809266e-08,-2.856904162259051e-13,9.419481894192348e-06,-3.626954926210218e-06
-1.9897866406715093e-06,-3.2679628540654117e-06,-6.027458292239034e-08,-6.027458292227101e-08,1.199335598709403e-13,7.790783822874485e-06,2.536429044294536e-07,1.3397814212234072e-05,-3.2905216329481846e-09,1.9374305493258248e-08,3.055770101578289e-07,-2.0071436113119832e-09,3.807685070860341e-15,2.594331013017204e-07,7.813996792880795e-08,0.6960000000000001,7.813996792837443e-08,-2.6029069212425495e-13,9.554641826108014e-06,-3.331082658773074e-06
-1.7303535393697889e-06,-2.96094612353985e-06,-4.9631992769892745e-08,-4.963199276981845e-08,8.588089435531682e-14,7.969990979496223e-06,3.195973018768046e-07,5.381596294947071e-06,-3.3051941183970253e-09,1.9469512002601164e-08,3.070167305255612e-07,-1.652745359235215e-09,2.7012048700344536e-15,2.6540069961722426e-07,7.791648550710893e-08,0.7300000000000001,7.79164855067505e-08,-2.363377835841936e-13,9.575331979527607e-06,-3.0332192481011357e-06
-1.4649528397525647e-06,-2.6537183536876803e-06,-4.177630293752229e-08,-4.177630293747746e-08,6.120031362266482e-14,8.302142940086765e-06,2.359066015726863e-07,9.974533351067334e-06,-3.307316642775504e-09,1.9483467283976097e-08,3.072277698521698e-07,-1.391150887818194e-09,1.89722006305969e-15,2.764613599048893e-07,7.788540744167848e-08,0.764,7.78854074413891e-08,-2.123165753369145e-13,9.578428665560327e-06,-2.7260122571248354e-06
-1.1884914798476757e-06,-2.346458977469705e-06,-3.272334775522645e-08,-3.272334775520334e-08,3.8891419999170045e-14,8.114188228732418e-06,2.7186051598486005e-07,-5.644285626256673e-06,-3.307641494032509e-09,1.948555539144081e-08,3.0725937621797506e-07,-1.089687480248389e-09,1.1882937092194665e-15,2.702024680167896e-07,7.788190991725024e-08,0.798,7.788190991702072e-08,-1.8908117312043493e-13,9.57877129954947e-06,-2.427793223375235e-06
-9.18289011830886e-07,-2.0391942283676302e-06,-2.5852308202087696e-08,-2.5852308202076797e-08,2.373989055243928e-14,8.150465321173537e-06,2.063375241182809e-07,1.089402175408978e-06,-3.3077027783434683e-09,1.9485909330541066e-08,3.072647491020746e-07,-8.608818631292284e-10,7.057077192037914e-16,2.714104951950788e-07,7.788224104152826e-08,0.8320000000000001,7.788224104135168e-08,-1.658554061562824e-13,9.57873361176897e-06,-2.1295664318130057e-06
-6.468785166358073e-07,-1.731927938561265e-06,-1.9988483581025385e-08,-1.9988483581021203e-08,1.2930120608691988e-14,8.419199106648336e-06,1.7609082946133064e-07,8.070083647891858e-06,-3.3077249828039604e-09,1.9486008584479464e-08,3.072662898063657e-07,-6.65616503248045e-10,3.619010427923186e-16,2.803593302513896e-07,7.788303226165208e-08,0.8660000000000001,7.788303226152278e-08,-1.419262875026705e-13,9.578650183128254e-06,-1.822300485501647e-06
-3.665191863844177e-07,-1.4246606800507464e-06,-1.31970353364038e-08,-1.3197035336402912e-08,4.836966654185022e-15,8.178460015824036e-06,2.0394739473338094e-07,-7.229402126855845e-06,-3.307741858193935e-09,1.9486071201058053e-08,3.0726725851051865e-07,-4.3946127670222944e-10,1.1752192971599342e-16,2.7234271852694044e-07,7.788373151064612e-08,0.9,7.788373151055566e-08,-1.1870031900778134e-13,9.57857613644698e-06,-1.5240707745442555e-06
-9.417646785747724e-08,-1.1173925396406473e-06,-7.0798923080506966e-09,-7.079892308050665e-09,6.667592503835357e-16,8.171644614227641e-06,1.8369798883943249e-07,-2.046667146064563e-07,-3.307757623360885e-09,1.9486126934253892e-08,3.072681404100991e-07,-2.3576041385808746e-10,-1.1542733180411105e-18,2.721157656537805e-07,7.788428908406533e-08,0.934,7.788428908400682e-08,-9.547369384249478e-14,9.578516251538216e-06,-1.2258402171388895e-06
1.7793929779630325e-07,-8.101235419111108e-07,-6.244440800276254e-10,-6.244440800276156e-10,-1.111131411131737e-16,8.397432796172603e-06,1.9385730414483695e-07,6.780425884233081e-06,-3.307772944438625e-09,1.9486181335182096e-08,3.0726899772953644e-07,-2.079398786491905e-11,-5.84508058762787e-18,2.796345121125477e-07,7.788471543068058e-08,0.968,7.788471543064772e-08,-7.154268171179343e-14,9.57846935816158e-06,-9.185715235164252e-07
4.5757380990885093e-07,-5.028536962818354e-07,6.410988296790987e-09,6.4109882967903174e-09,2.933500340243605e-15,8.113584284410427e-06,2.112742455501085e-07,-8.523979332197463e-06,-3.3077887096055747e-09,1.9486235736110306e-08,3.072698456292754e-07,2.1348591028310622e-10,1.1860395011881418e-16,2.701823566708673e-07,7.788499835504506e-08,1.002,7.788499835503008e-08,-4.8315127233486574e-14,9.578436918182512e-06,-6.203393240536677e-07
7.277561665797182e-07,-1.9558300877997725e-07,1.4181084894959426e-08,1.4181084894955673e-08,1.0320371981096308e-14,8.059408471925653e-06,2.3333623417923243e-07,-1.6269012758190414e-06,-3.307803808638709e-09,1.9486288582726278e-08,3.072706875018582e-07,4.722301270019867e-10,3.895306837551025e-16,2.683783021151243e-07,7.788514789139548e-08,1.036,7.788514789139144e-08,-2.508729943468336e-14,9.578417803005213e-06,-3.2210633367052214e-07
9.961344686948425e-07,1.1168850890799768e-07,2.40567290212503e-08,2.405672902123837e-08,2.3963736982115004e-14,8.224344436211404e-06,2.965658896784046e-07,4.953031960533066e-06,-3.307819129716449e-09,1.948634142934225e-08,3.072715176879749e-07,8.010890764071512e-10,8.781166320389096e-16,2.738706697258398e-07,7.788517912922275e-08,1.07,7.788517912922275e-08,-1.155438877095149e-15,9.578410403675623e-06,-1.4835157214931858e-08
1.2700051384206824e-06,4.189608512117821e-07,3.4321900236803845e-08,3.4321900236776165e-08,4.35889896610912e-14,7.877996290852597e-06,3.082633998664726e-07,-1.0400845205970192e-05,-3.307834672838794e-09,1.9486393165735197e-08,3.072723423037844e-07,1.1429192778845006e-09,1.558928109243104e-15,2.623372764853915e-07,7.788510269498501e-08,1.104,7.788510269498189e-08,2.2072593091498352e-14,9.578413874286644e-06,2.833994220684245e-07
