Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,Time,odom_world_velocity_x,odom_world_velocity_y,odom_yaw_world
-1.5708000934289514,-1.573215951950595,5.384600267026576e-05,-2.0281818737322257e-10,-5.384600266988378e-05,-0.0003683382661545,-0.0026357631373,-0.0081426217531923,-8.473692322460223e-09,-3.856953448583989e-07,6.484010550700249e-08,-1.6565881409458424e-11,-1.7930718888301644e-06,-1.2265664262946876e-05,4.244843270976029e-07,0.447,-1.027964029356619e-09,-4.244830823972365e-07,-1.5732180063917398
-1.5708123590932144,-1.5732074828784195,-2.933690499617101e-06,4.7033801259803796e-11,2.933690499240071e-06,8.246109913237586e-05,-0.0017050958909874,0.0135375184770851,5.478710330922518e-07,8.741160313456564e-08,8.469072175332217e-06,1.3675559963531988e-12,9.769189362506497e-08,2.745954601108117e-06,-2.595039593241701e-06,0.481,6.2704514254026405e-09,2.5950320175155785e-06,-1.573212651209961
-1.5708096131386131,-1.5731970976865988,-2.1685145622027155e-06,2.8811629827284283e-11,2.1685145620113144e-06,0.0002248132056456,2.2978256378810376e-05,0.004274838033432,6.753477948570564e-07,1.0586235992069736e-07,1.038519182094966e-05,6.414236208731467e-13,7.221153491729008e-08,7.486279748000638e-06,-3.1562375004092305e-06,0.515,7.596050372506153e-09,3.156228359768704e-06,-1.573203008074234
-1.5708021268588652,-1.5731862304697597,-1.002309136756748e-06,5.8134571094715105e-12,1.0023091367398886e-06,0.0002539798964231,3.502118394732635e-05,0.0008758765999259,7.074808471856401e-07,1.1056872480617705e-07,1.086721683929426e-05,3.0395063364182207e-14,3.3376894253471004e-08,8.457530550892499e-06,-3.2965444948997594e-06,0.549,7.899581454260626e-09,3.296535029916527e-06,-1.5731926508933194
-1.5707936693283144,-1.5731752358326698,-2.9085457990540964e-07,-7.729363263730345e-13,2.908545799043826e-07,0.0002633570851721,2.1365001707247397e-05,0.0002815972597276,7.159716871622889e-07,1.1181829303978653e-07,1.099463708964521e-05,-7.460712426338509e-14,9.685457510646765e-09,8.769790936231872e-06,-3.335307028135672e-06,0.5830000000000001,7.957058388686312e-09,3.335297536525491e-06,-1.5731820339785627
-1.570784899537378,-1.5731642071490315,3.3726297525225174e-07,3.853990869586021e-12,-3.3726297523023137e-07,0.0002729189782037,1.8862389043773613e-05,0.0002871439348825,7.182365652062031e-07,1.121596310028894e-07,1.10286836381146e-05,1.867914803942172e-13,-1.1230857074197747e-08,9.088201974183745e-06,-3.346303356775761e-06,0.617,7.946439607556866e-09,3.3462939215894184e-06,-1.573171020966012
-1.570775811335404,-1.573153169107789,9.466668716306408e-07,1.9421305856576692e-11,-9.46666871431422e-07,0.0002631263686977,1.830041730866033e-05,-0.0002940723575365,7.188552214403039e-07,1.1226077045733805e-07,1.1038041242805718e-05,8.056638686192829e-13,-3.1524006814571105e-08,8.76210807763501e-06,-3.34934670495724e-06,0.651,7.917798427700413e-09,3.3493373461740123e-06,-1.5731603119238944
-1.5707670492273262,-1.5731421282376044,1.6120059859279246e-06,4.71956141701186e-11,-1.612005985237038e-06,0.0002592409031567,1.998015358250101e-05,-0.0001166806468766,7.190385410216122e-07,1.122983879333159e-07,1.1040870184553242e-05,1.838778073442516e-12,-5.3679799300149394e-08,8.632722075119986e-06,-3.350359897991173e-06,0.685,7.884295659569196e-09,3.350350621046904e-06,-1.5731495972424538
-1.5707584165052513,-1.5731310862651016,2.459107722549558e-06,9.322548600862384e-11,-2.459107720782455e-06,0.0002608644954034,2.5438490589238243e-05,4.875652392598145e-05,7.191067135467222e-07,1.1231920407899637e-07,1.1041972502789932e-05,3.514180080155912e-12,-8.188828708530386e-08,8.686787696936267e-06,-3.350826852401599e-06,0.7190000000000001,7.848397075207858e-09,3.350817661025284e-06,-1.573138555921325
-1.5707497297175543,-1.5731200436471249,3.3036043422522526e-06,1.5393830698853442e-10,-3.303604338665715e-06,0.0002447606111599,2.536025884993077e-05,-0.0004836001274348,7.191444064571572e-07,1.1233557407810432e-07,1.1042617976686486e-05,5.647143467603806e-12,-1.1001002445100098e-07,8.150528351624994e-06,-3.3511254896225663e-06,0.753,7.813181208403553e-09,3.35111638135674e-06,-1.5731278384948542
-1.5707415791892023,-1.5731090005047377,4.389912142693692e-06,2.403371788997781e-10,-4.3899121361147485e-06,0.0002337053770915,3.2621855869112274e-05,-0.0003319890110617,7.191740104018597e-07,1.1235076551908805e-07,1.1043142387423543e-05,8.66863330786084e-12,-1.461840740950287e-07,7.782389057148752e-06,-3.3513835630342388e-06,0.787,7.777862932433551e-09,3.351374537622477e-06,-1.573117120511338
-1.5707337968001456,-1.5730979568701913,5.891642509797295e-06,3.684043749725689e-10,-5.891642498279132e-06,0.000225933285089,4.509700802112922e-05,-0.0002333961562322,7.192014484428178e-07,1.123656428120637e-07,1.1043634546181734e-05,1.3135510406814969e-11,-1.9619169513432939e-07,7.523578393464379e-06,-3.3516367938796863e-06,0.8210000000000001,7.741437683234477e-09,3.351627853481156e-06,-1.573106077237049
-1.570726273221752,-1.573086912752231,7.294189724522533e-06,5.109840529799452e-10,-7.294189706624403e-06,0.0002014737936873,4.211853497673388e-05,-0.0007345192613103,7.192282894471752e-07,1.123804349049615e-07,1.1044117960379296e-05,1.7991036268492882e-11,-2.428965171563039e-07,6.709077329789996e-06,-3.3518802939340665e-06,0.8550000000000001,7.706071600405968e-09,3.351871435679479e-06,-1.5730953582975495
-1.5707195641444225,-1.5730758681533636,9.075383897522518e-06,6.96650521361939e-10,-9.075383870784147e-06,0.000180816260184,5.348931450450404e-05,-0.0006203463514528,7.192549504760354e-07,1.1239520263106598e-07,1.1044598867249176e-05,2.430794828945285e-11,-3.0221028280750506e-07,6.021181464127499e-06,-3.352122661829399e-06,0.889,7.670696182152396e-09,3.352113885352092e-06,-1.5730846389035016
-1.5707135429629582,-1.5730648230744273,-0.0001535961106375,-1.2715274594896398e-08,0.0001535961101112,0.0022245924015457,-0.0048850298659188,0.0613746588997511,7.192815440283095e-07,1.1240996237744245e-07,1.1045078936344764e-05,-6.162452552577137e-10,5.11475044594211e-06,7.407892697147251e-05,-3.3523739796722985e-06,0.923,7.634245414439203e-09,3.352365287059397e-06,-1.5730735942057523
-1.5706394640359866,-1.5730537775158009,1.0686582672432426e-05,1.6763268344426986e-09,-1.06865825409558e-05,0.0001633455926245,0.0049334142135137,-0.0618993035712063,7.193081017098734e-07,1.1242471873069981e-07,1.1045558626410212e-05,5.7024624216412046e-11,-3.558631984292176e-07,5.439408234397495e-06,-3.3526160523367952e-06,0.957,7.598855678447681e-09,3.3526074407509648e-06,-1.5730628738930472
-1.570634024627752,-1.5730427314777249,8.868369354067548e-06,1.4393555588835503e-09,-8.868369237262284e-06,0.0001871555823394,-5.460100055149784e-05,0.0007150147061537,7.19334633686193e-07,1.1243947313586274e-07,1.1046038076001352e-05,4.9045878987807966e-11,-2.953166954125048e-07,6.232280891904366e-06,-3.352857833907848e-06,0.991,7.563458579796225e-09,3.352849302979711e-06,-1.573052153128501
-1.5706277923468603,-1.5730316849603894,7.426950657103634e-06,1.2516970236621315e-09,-7.426950551626599e-06,0.0002152064714937,-4.328584675567308e-05,0.000842369043672,7.193611441538795e-07,1.1245422618533925e-07,1.104651733552231e-05,4.273108722805461e-11,-2.47317453191527e-07,7.1663755007418825e-06,-3.3531063210134154e-06,1.025,7.526980440399996e-09,3.353097872801444e-06,-1.5730411070199346
-1.5706206259713595,-1.5730206379639562,5.793592348747748e-06,1.0179389416756675e-09,-5.793592259321392e-06,0.0002274290844858,-4.904979904972631e-05,0.000367045435197,7.19387635781578e-07,1.1246897823301295e-07,1.1046996433172753e-05,3.475537591222117e-11,-1.929266220835312e-07,7.573388513377506e-06,-3.3533479542637307e-06,1.059,7.4915694155168e-09,3.353339585957921e-06,-1.5730303853386138
