Time,yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw
0.42900000000000005,-1.5731937736025388,0.0,0.0,0.0
0.463,-1.5731943772840735,-6.392698261089305e-08,-1.06203440667328e-06,-6.036815347609803e-07
0.49700000000000005,-1.573195386352399,-7.509158368845672e-08,2.3622406556799733e-07,-1.009068325563689e-06
0.531,-1.5731957469902453,-2.99809229745804e-08,5.544155234765668e-07,-3.6063784625284256e-07
0.5650000000000001,-1.5731957600195652,-6.076109411336225e-09,8.244329034448292e-07,-1.3029319845259124e-08
0.5990000000000001,-1.573207630150069,1.0844729515515633e-05,-4.010746583366783e-06,-1.1870130503854881e-05
0.633,-1.5732177008922958,-5.414217452576463e-07,-7.258061735775784e-07,-1.0070742226808704e-05
0.667,-1.5732108380211454,4.411842693926537e-07,7.202067068071308e-08,6.862871150481453e-06
0.7010000000000001,-1.5732008534166564,6.486678427614676e-07,1.0193885334810687e-07,9.984604488977311e-06
0.7350000000000001,-1.573190089751511,7.005781022269321e-07,1.0955811468021412e-07,1.0763665145407941e-05
0.769,-1.5731791226243876,7.141392405448164e-07,1.1154708737162039e-07,1.0967127123340248e-05
0.803,-1.5731681013403735,7.17745036582304e-07,1.1208407510281126e-07,1.1021284014089971e-05
0.8370000000000001,-1.573157065380977,7.187182771707641e-07,1.1223695224518021e-07,1.1035959396554773e-05
0.8710000000000001,-1.5731460251863911,7.189953693069485e-07,1.1228825264660708e-07,1.1040194585865137e-05
0.905,-1.5731349835175397,7.190883492586318e-07,1.1231268831537328e-07,1.1041668851463626e-05
0.9390000000000001,-1.5731239411047633,7.191326129127159e-07,1.1233001655491098e-07,1.104241277638529e-05
0.9730000000000001,-1.5731128981414533,7.191639643874481e-07,1.1234546234365453e-07,1.1042963310003984e-05
1.007,-1.5731018546789959,7.1919187375826e-07,1.1236040773667305e-07,1.104346245739407e-05
1.041,-1.573090810731202,7.192188477037134e-07,1.1237521855156718e-07,1.1043947793831776e-05
1.075,-1.5730797663019267,7.192455514048805e-07,1.123899918392002e-07,1.1044429275353096e-05
1.109,-1.5730687213923704,7.192721630498767e-07,1.1240475357096602e-07,1.1044909556279237e-05
1.143,-1.5730576760030144,7.192987316871341e-07,1.1241951087658658e-07,1.1045389356034718e-05
1.177,-1.573046630134133,7.193252720754124e-07,1.12434265877627e-07,1.1045868881343068e-05
1.211,-1.573035583785928,7.193517897819442e-07,1.1244901935297644e-07,1.1046348205034917e-05
1.245,-1.5730245369585711,7.193782878278891e-07,1.1246377172677985e-07,1.1046827356864242e-05
1.279,-1.5730134896522117,7.194047682761079e-07,1.1247852326357918e-07,1.1047306359479592e-05
1.313,-1.573002441866981,7.19431232940559e-07,1.1249327421490596e-07,1.1047785230644536e-05
1.347,-1.5729913936029971,7.194576834757314e-07,1.125080247950036e-07,1.1048263983903794e-05
1.381,-1.5729803448603634,7.194841212177789e-07,1.1252277518601639e-07,1.1048742633690267e-05
1.415,-1.5729692956391723,7.19510547510743e-07,1.1253752556141497e-07,1.1049221191106184e-05
1.449,-1.5729582459395033,7.195369635707223e-07,1.1255227609120902e-07,1.1049699669030133e-05
1.483,-1.5729471957614278,7.195633703854658e-07,1.1256702689855375e-07,1.1050178075455719e-05
1.517,-1.572939057647578,5.258048927518405e-07,-0.00021472924555778188,8.138113849920359e-06
1.5510000000000002,-1.5729638068281304,-1.6463466801745927e-06,-0.0010780680959095,-2.4749180552507966e-05
1.585,-1.573019763221195,-3.7065645854914747e-06,-0.0019870461421629005,-5.595639306466005e-05
1.619,-1.5731105806106842,-6.0080508046394506e-06,-0.0028918503969532,-9.081738948912843e-05
1.653,-1.5732408686575976,-8.613986796965217e-06,-0.003776500949330199,-0.00013028804691339602
1.687,-1.5734168538322784,-1.1631193611537946e-05,-0.004611332987091401,-0.00017598517468075947
1.721,-1.5736431507828599,-1.4953353225054282e-05,-0.005351740788528301,-0.00022629695058151708
1.755,-1.5739198453778578,-1.828151785095025e-05,-0.0059441672129360995,-0.00027669459499790605
1.7890000000000001,-1.5742749326648728,-2.3457605768806308e-05,-0.006341294958085497,-0.00035508728701505454
1.823,-1.5748079597793867,-3.520285908086552e-05,-0.006509215613860406,-0.0005330271145138621
1.8570000000000002,-1.5752138746853421,-2.6618707519362523e-05,-0.006515137629779996,-0.000405914905955429
1.891,-1.575595900593399,-2.5241446348299993e-05,-0.0066653987602052975,-0.0003820259080569155
1.925,-1.5761785654525649,-3.560324772840001e-05,-0.007006960923811402,-0.0005826648591658046
1.959,-1.5793485147557318,-4.692159083599998e-05,-0.007373103103107306,-0.0031699493031669412
1.993,-1.5843609246520738,-8.01631986809e-05,-0.007512199111158593,-0.005012409896341996
2.027,-1.5894113690152563,-0.00011884249170650003,-0.007517796290610196,-0.005050444363182471
2.061,-1.5944643422101707,-0.00015702492769449996,-0.007523575307259403,-0.00505297319491449
2.095,-1.5961595951353327,-0.00018251768290840006,-0.007499127388911203,-0.0016952529251619275
2.129,-1.597657146473658,-0.0001949666881631999,-0.007503553814681596,-0.001497551338325298
2.163,-1.5991552021422941,-0.00020660962565580013,-0.007508999061757199,-0.0014980556686361446
2.197,-1.6004298470110423,-0.0002178843845351999,-0.007510519415340811,-0.0012746448687481762
2.231,-1.6016805112458894,-0.00022786904539619994,-0.007508944931596803,-0.0012506642348470987
2.265,-1.6029115258173,-0.0002379035781361,-0.007501331275362982,-0.0012310145714105047
2.299,-1.6040652685878904,-0.0002417146078424002,-0.007492236042413808,-0.001153742770590549
2.333,-1.6056241339796469,-0.00024680938805769987,-0.007423633250672496,-0.0015588653917564255
2.367,-1.607207189937335,-0.0002632824241840001,-0.007412664674157493,-0.0015830559576881509
2.401,-1.6081597985128693,-0.0002754605653922,-0.007459208353016111,-0.0009526085755342529
2.435,-1.6091252600985269,-0.00028171029619679985,-0.007465902630913401,-0.0009654615856575789
2.469,-1.6101344230381485,-0.0002881270489105002,-0.007433755637162809,-0.0010091629396216106
2.503,-1.6134591063726922,-0.00028873753864649965,-0.007119137124451003,-0.003324683334543721
2.537,-1.6169754999690875,-0.0003143337846799,-0.007111471572593175,-0.0035163935963953286
2.571,-1.6197670280184973,-0.00033869278698829986,-0.007109950934807624,-0.002791528049409742
2.605,-1.6202685839339646,-0.0003493149036304004,-0.007094408413603176,-0.0005015559154672999
2.6390000000000002,-1.6207824248757499,-0.0003528092916261997,-0.00709978017200491,-0.000513840941785304
2.673,-1.6206856778712289,-0.00035679641509460056,-0.007099913998473512,9.674700452100282e-05
2.707,-1.6192951748736821,-0.0003515738215758993,-0.0070901956870496885,0.0013905029975467276
2.741,-1.617868593108022,-0.00034232932110450035,-0.00708969798714279,0.0014265817656602398
2.775,-1.616442129429318,-0.0003275258523560004,-0.007092551285259124,0.0014264636787038043
2.809,-1.6157562063275683,-0.00030971219795749953,-0.007130593855243783,0.0006859231017497525
2.843,-1.6179734835981763,-0.00032967064927900015,-0.007239512758512728,-0.0022172772706079424
2.877,-1.619933630351948,-0.0003540046223114001,-0.00735863243561069,-0.0019601467537717636
2.911,-1.6206580816456446,-0.00036950245059099926,-0.007456278547721573,-0.0007244512936965819
2.9450000000000003,-1.6213595158385732,-0.0003738260395466011,-0.0074635075443458265,-0.0007014341929285628
2.979,-1.6220580073384228,-0.00037945765802739964,-0.007469379577837498,-0.0006984914998495739
3.013,-1.6226389944573614,-0.00038486018450419913,-0.007474411270723402,-0.000580987118938614
3.047,-1.6231194090919043,-0.0003889783838732005,-0.0074794549865979665,-0.00048041463454295824
