Time,yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw
0.19,-1.5731924901201024,0.0,0.0,0.0
0.224,-1.5731937288980173,4.4707588934280484e-08,1.7413165838178236e-05,-1.238777914913669e-06
0.258,-1.5731943723023596,-6.77739752010015e-08,-1.0689541202870204e-06,-6.434043422487434e-07
0.29200000000000004,-1.5731953639057021,-7.405149835220105e-08,1.9578368041801159e-07,-9.916033425483306e-07
0.326,-1.5731957434808646,-3.1262209450038395e-08,5.465124618998785e-07,-3.7957516241249323e-07
0.36000000000000004,-1.5731957615332899,-6.434011206927267e-09,8.164916474907857e-07,-1.8052425332371058e-08
0.394,-1.573207048523559,1.072340173441791e-05,-3.7745777813208425e-06,-1.1286990269088193e-05
0.42800000000000005,-1.5732177663066316,-4.240640930162994e-07,-9.351129527795932e-07,-1.0717783072600184e-05
0.462,-1.57321110532314,4.277893566315396e-07,7.05290859517177e-08,6.6609834916686594e-06
0.49600000000000005,-1.5732011631270595,6.458445904331964e-07,1.0151577736500741e-07,9.94219608041469e-06
0.53,-1.5731904104951528,6.998425835621085e-07,1.0945061869761272e-07,1.0752631906640886e-05
0.5640000000000001,-1.5731794462933975,7.139443381967714e-07,1.1151832911716203e-07,1.0964201755392367e-05
0.5980000000000001,-1.5731684257934273,7.176929133352437e-07,1.1207615008713454e-07,1.1020499970149089e-05
0.632,-1.5731573900517852,7.187039133880568e-07,1.1223453668957575e-07,1.103574164207366e-05
0.666,-1.5731463499252063,7.189909909561629e-07,1.1228729412081362e-07,1.104012657893172e-05
0.7000000000000001,-1.5731353082847566,7.190866122778147e-07,1.1231211519309447e-07,1.104164044973821e-05
0.7340000000000001,-1.5731242658899005,7.191315753137117e-07,1.1232954543957504e-07,1.1042394856053406e-05
0.768,-1.573113222941732,7.19163112572739e-07,1.1234501828654045e-07,1.104294816856033e-05
0.802,-1.5731021794936744,7.191910718546183e-07,1.123599709064102e-07,1.1043448057579397e-05
0.8360000000000001,-1.5730911355600776,7.192180597033484e-07,1.1237478369195866e-07,1.1043933596743825e-05
0.8700000000000001,-1.5730800911449405,7.192447677199654e-07,1.1238955755464405e-07,1.1044415137106967e-05
0.904,-1.5730690462495014,7.192713810873319e-07,1.1240431948156965e-07,1.1044895439127345e-05
0.9380000000000001,-1.573058000874253,7.192979506979827e-07,1.1241907687826319e-07,1.1045375248430746e-05
0.9720000000000001,-1.573046955019472,7.193244918188361e-07,1.124338319296106e-07,1.1045854781066566e-05
1.006,-1.5730359086853622,7.193510101424856e-07,1.1244858544572772e-07,1.1046334109643396e-05
1.04,-1.5730248618720957,7.193775087316124e-07,1.1246333784641765e-07,1.1046813266579749e-05
1.074,-1.5730138145798225,7.194039896729535e-07,1.1247808940316462e-07,1.1047292273191898e-05
1.108,-1.5730027668086748,7.194304547759779e-07,1.1249284036923823e-07,1.1047771147687513e-05
1.142,-1.5729917185587703,7.194569057097233e-07,1.1250759095887516e-07,1.1048249904499485e-05
1.176,-1.5729806698302131,7.194833438049361e-07,1.1252234135422815e-07,1.1048728557172538e-05
1.21,-1.5729696206230956,7.195097704201624e-07,1.1253709172268783e-07,1.1049207117475037e-05
1.244,-1.572958570937499,7.195361867625256e-07,1.1255184224900905e-07,1.104968559673125e-05
1.278,-1.5729475207734933,7.195625938399035e-07,1.1256659304594713e-07,1.1050164005599328e-05
1.312,-1.5729388601621,5.603782507661458e-07,-0.00019675311718242512,8.66061139337404e-06
1.346,-1.5729627358713634,-1.5886849938607759e-06,-0.0010513295826377002,-2.3875709263432302e-05
1.38,-1.5730177049771954,-3.6413866493332047e-06,-0.0019603186153326,-5.496910583202563e-05
1.4140000000000001,-1.5731074456215326,-5.93696400910064e-06,-0.0028654187238518996,-8.974064433719953e-05
1.448,-1.573236493105539,-8.532080693446539e-06,-0.003751007431529501,-0.00012904748400632826
1.482,-1.5734110379307886,-1.1536090317734526e-05,-0.004587888454564499,-0.00017454482524970064
1.516,-1.5736357697461192,-1.485000422077703e-05,-0.005331832311926899,-0.00022473181533055886
1.55,-1.5739109256364148,-1.817990629545551e-05,-0.0059293290241111025,-0.0002751558902955864
1.584,-1.5742620176908981,-2.3193935711181836e-05,-0.006332710142985698,-0.00035109205448335956
1.6179999999999999,-1.5747883024136735,-3.4757729798800764e-05,-0.006507623898182602,-0.0005262847227753831
1.6520000000000001,-1.5752178551436689,-2.775006829879736e-05,-0.006514034194593697,-0.00042955272999534166
1.686,-1.575589772814154,-2.4575077009100012e-05,-0.006658152720579104,-0.0003719176704850557
1.7200000000000002,-1.576246025135259,-3.5687336504899994e-05,-0.0069874767970950005,-0.0006562523211051108
1.754,-1.5794715808377313,-4.754437013329999e-05,-0.007346023396083298,-0.0032255557024722936
1.788,-1.5844177910649084,-8.077996082890001e-05,-0.007511745632523603,-0.004946210227177117
1.822,-1.5895690391822312,-0.00011436875695719999,-0.00721909071076679,-0.005151248117322815
1.856,-1.5944869511589819,-0.0001494249635522,-0.0071289119763014025,-0.004917911976750622
1.8900000000000001,-1.5993974787950167,-0.00018460152842910001,-0.007133304932964199,-0.004910527636034835
1.924,-1.60371611941707,-0.000228044939,-0.007447119804005101,-0.004318640622053227
1.9580000000000002,-1.6078271157216104,-0.0002621337313871001,-0.007529986725281199,-0.004110996304540482
1.992,-1.6119700486379112,-0.0002924306995516,-0.007532820031901602,-0.0041429329163007456
2.026,-1.6158379109888878,-0.0003245944313142999,-0.007529135984446794,-0.003867862350976692
2.06,-1.6196778690882438,-0.00035383205106580013,-0.0075210737287137175,-0.0038399580993560005
2.094,-1.6235489024737562,-0.00037841608994719977,-0.007507263238410389,-0.0038710333855123125
2.128,-1.6270762378275987,-0.0003963738944648002,-0.007436622865613113,-0.003527335353842531
2.162,-1.6311375879621384,-0.00042980061948279984,-0.0073974983288719875,-0.004061350134539676
2.196,-1.634407590082564,-0.0004611344153323,-0.007436575535015005,-0.003270002120425719
2.23,-1.6374425335462526,-0.0004529790900178999,-0.007007678498657299,-0.0030349434636884887
2.2640000000000002,-1.6408814907394522,-0.00048222997263020016,-0.007051513779362889,-0.0034389571931996436
2.298,-1.6439686322346998,-0.0005083132020581999,-0.0071140905435913004,-0.0030871414952475806
2.332,-1.6466064422926898,-0.0005553480539878999,-0.007446556804146909,-0.0026378100579900195
2.366,-1.6488754766736506,-0.0005755411978492003,-0.007483465527379496,-0.002269034380960822
2.4,-1.6510991015104537,-0.0005931200970051998,-0.007487865672827193,-0.002223624836803051
2.434,-1.6531730090448196,-0.0006097370535585005,-0.007490527926234308,-0.0020739075343658704
2.468,-1.655231804516955,-0.0006260110872860995,-0.007492972789826996,-0.0020587954721353885
2.502,-1.6575122010503207,-0.0006385482971229001,-0.007458035991584011,-0.0022803965333657583
2.536,-1.6621401617020461,-0.0006357400094844003,-0.007171804480180899,-0.004627960651725438
2.5700000000000003,-1.6667565258776325,-0.0006669707071465004,-0.007109809144695084,-0.004616364175586306
2.604,-1.6707998655144438,-0.0006898602622004996,-0.007042440583893417,-0.0040433396368113605
2.638,-1.6728168182669951,-0.0006895530087423999,-0.006819420040513002,-0.0020169527525513153
2.672,-1.675435840378603,-0.0007058282229459,-0.006844233778484365,-0.0026190221116078054
2.706,-1.6775045452916375,-0.0007383196288448003,-0.006987474367623425,-0.002068704913034569
2.74,-1.6813874331763965,-0.0008056329528038,-0.0073943787335984945,-0.0038828878847589903
2.774,-1.6849229899200515,-0.0008389867669277001,-0.007456062524162421,-0.003535556743655022
2.808,-1.687113731879943,-0.0008633530472838997,-0.007445106687824388,-0.00219074195989144
2.842,-1.6876457480824656,-0.0008700856727715985,-0.007437771422272088,-0.0005320162025226338
2.876,-1.6881830508131557,-0.0008749938145457027,-0.007443472753910885,-0.0005373027306900813
2.91,-1.6886179583535075,-0.0008796224200895986,-0.007447632854298225,-0.00043490754035180323
2.944,-1.6889531893651628,-0.0008830410244900014,-0.007450113655178892,-0.00033523101165533475
2.978,-1.6892172516696486,-0.0008857120256540001,-0.00744837048455349,-0.0002640623044858348
3.012,-1.689358033886142,-0.0008841261177233994,-0.007448188014983925,-0.00014078221649338474
3.046,-1.6893052880715196,-0.0008841120055394988,-0.007430975064559808,5.2745814622445764e-05
3.08,-1.689235092706402,-0.0008792927117459021,-0.0074130517347529845,7.019536511765345e-05
3.114,-1.6897190926716459,-0.0008744153457364984,-0.007381159533686621,-0.000483999965243953
3.148,-1.6906574194782458,-0.0008805970126260984,-0.007351701068201488,-0.0009383268065998873
3.182,-1.6909387317411293,-0.0008922114373105007,-0.007404197919917976,-0.0002813122628835263
3.216,-1.6903717193851082,-0.0008589012718210019,-0.007123876533032314,0.0005670123560210794
3.25,-1.6898448316109334,-0.0008049867775360986,-0.006741979859740399,0.0005268877741748668
3.284,-1.6899292805585353,-0.000840816901909,-0.007033004994985992,-8.444894760195609e-05
3.318,-1.6890918732975084,-0.0008390405441794993,-0.007031819765998315,0.0008374072610268789
3.352,-1.6880094064864235,-0.0008322427911210996,-0.007036112589696608,0.0010824668110849256
3.386,-1.686930726131245,-0.0008265877106705018,-0.0070427817246295765,0.0010786803551785518
3.42,-1.6861124628560713,-0.000846462631513098,-0.007290018128078002,0.0008182632751736474
3.454,-1.6859007112782678,-0.0008624792679818999,-0.007448881727770418,0.0002117515778035095
3.488,-1.685645583958578,-0.000858764014590202,-0.007447416228536674,0.0002551273196897963
3.5220000000000002,-1.68526899296727,-0.0008554775935143977,-0.007445840313653529,0.00037659099130804563
3.556,-1.684636934710055,-0.000848911993043204,-0.007410322213382392,0.000632058257215018
3.59,-1.6844262130536642,-0.0008363594935838978,-0.007394216973952872,0.00021072165639068885
3.624,-1.6849162461137261,-0.0008388046883985034,-0.007348149915844815,-0.0004900330600619007
3.658,-1.6848170903358122,-0.0008468565475210979,-0.007395836887717111,9.91557779139729e-05
3.692,-1.6845418512357044,-0.0008467310977082962,-0.007414498348364107,0.0002752391001077381
3.726,-1.684056283059734,-0.0008445636828407002,-0.007418527567599198,0.0004855681759703412
3.76,-1.6835789248384707,-0.0008420129133654003,-0.007424870030106001,0.0004773582212633798
3.794,-1.6830874037944992,-0.0008393577469897051,-0.00743120345059417,0.0004915210439715435
3.8280000000000003,-1.6824228487313349,-0.0008364590186207971,-0.007436055367959993,0.0006645550631643182
3.862,-1.681756280530462,-0.0008325799669300984,-0.007442338415922123,0.0006665682008728524
3.896,-1.6811376121738748,-0.0008269270923331046,-0.007434700902713254,0.0006186683565871931
3.93,-1.6826069109607167,-0.0007799510931681963,-0.007020016077091351,-0.0014692987868418772
3.964,-1.6820465489307943,-0.0007865292166097035,-0.007022728928266164,0.0005603620299223788
3.998,-1.681152824439776,-0.0007836857454984955,-0.007057551279781582,0.0008937244910183217
4.032,-1.679964627365303,-0.0007736639747703,-0.007017026569022478,0.0011881970744729298
4.066,-1.6792242086235531,-0.0007563857821765024,-0.007005016847156265,0.0007404187417499043
4.1,-1.6794357364930423,-0.0007556673273389006,-0.006966824311599784,-0.000211527869489192
4.134,-1.681594886251033,-0.0007878518482839977,-0.007176916679175749,-0.002159149757990697
4.168,-1.6816625863238395,-0.0008187404856421013,-0.0073414678516392495,-6.770007280643142e-05
4.202,-1.6806325105509075,-0.0008209322819714981,-0.0074153333982177605,0.0010300757729320154
4.236,-1.6792948377799857,-0.0008124693992712026,-0.007418775755522966,0.0013376727709217828
4.27,-1.6779602609072901,-0.0008034137826776963,-0.0074261834052234965,0.0013345768726955587
4.304,-1.676730101101713,-0.000794515281945303,-0.007434164199723092,0.001230159805577058
4.338,-1.675661170566053,-0.0007880571971069991,-0.007442285941833049,0.0010689305356601508
4.372,-1.6745898081333364,-0.0007816642022918027,-0.007449200461786654,0.0010713624327165496
4.406,-1.6734022530668533,-0.0007743142431076988,-0.007452535860108522,0.001187555066483048
4.44,-1.6720480205664578,-0.0007627310576764981,-0.007452987196716165,0.001354232500395458
4.474,-1.6707547704984909,-0.0007507992804349009,-0.007454025204714165,0.001293250067966989
4.508,-1.6693030536278388,-0.0007386499707569966,-0.007417389086773141,0.0014517168706520422
4.542,-1.6686990040058955,-0.0007194265514979051,-0.007386611205293603,0.00060404962194327
4.5760000000000005,-1.6684785513374185,-0.0007193018620729949,-0.007351486741222102,0.0002204526684770336
4.61,-1.6674139893065179,-0.0007084228557982034,-0.007273581520459427,0.0010645620309006618
4.644,-1.6666486578383148,-0.0006790674687313022,-0.007037682745319462,0.0007653314682030121
4.678,-1.6657189956915297,-0.0006722368459209996,-0.007035149198882373,0.0009296621467851374
4.712,-1.6654110559847302,-0.0006680185278222991,-0.007046696517534978,0.0003079397067995427
4.746,-1.6654831223159023,-0.0006690797309795021,-0.007056469067385107,-7.206633117218253e-05
4.78,-1.665563560980036,-0.0006702525465227954,-0.007062453499787513,-8.043866413376399e-05
4.814,-1.6661618538508818,-0.0006901191676388016,-0.007258575499814013,-0.0005982928708456736
4.848,-1.6677210264920448,-0.0007203419357695029,-0.007478692658043129,-0.0015591726411630091
4.882,-1.669245994261433,-0.0007328584293048029,-0.007478886975664234,-0.0015249677693882635
4.916,-1.6701419354109184,-0.0007430669362665926,-0.0074694867352392835,-0.0008959411494853242
4.95,-1.6708645998823415,-0.0007429527042482065,-0.007464259480791657,-0.0007226644714231067
