Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,name,position_0,position_1
0.35200000000000004,0,0,352000000,,"['wheel_right_joint', 'wheel_left_joint']",9.672103980840063e-06,8.785280549261643e-06
0.383,1,0,385000000,,"['wheel_right_joint', 'wheel_left_joint']",7.691219968464225e-06,6.714698558951682e-06
0.41800000000000004,2,0,417000000,,"['wheel_right_joint', 'wheel_left_joint']",6.211699064451182e-06,4.724830494851062e-06
0.452,3,0,452000000,,"['wheel_right_joint', 'wheel_left_joint']",7.018047529783189e-07,-1.9062242930800721e-06
0.48300000000000004,4,0,485000000,,"['wheel_right_joint', 'wheel_left_joint']",-3.5702088663214226e-06,-6.827393640662649e-06
0.522,5,0,518000000,,"['wheel_right_joint', 'wheel_left_joint']",-6.982083725404209e-06,-1.1633292222867908e-05
0.552,6,0,551000000,,"['wheel_right_joint', 'wheel_left_joint']",-4.248606853884951e-06,4.46259370878721e-06
0.5850000000000001,7,0,585000000,,"['wheel_right_joint', 'wheel_left_joint']",5.97293285142797e-06,1.648898504136298e-05
0.618,8,0,618000000,,"['wheel_right_joint', 'wheel_left_joint']",6.542881054727445e-06,1.657903094010038e-05
0.652,9,0,652000000,,"['wheel_right_joint', 'wheel_left_joint']",7.066447913928187e-06,1.5916772821533698e-05
0.685,10,0,685000000,,"['wheel_right_joint', 'wheel_left_joint']",7.634554112456726e-06,1.5227021550323627e-05
0.7170000000000001,11,0,718000000,,"['wheel_right_joint', 'wheel_left_joint']",8.227866561405506e-06,1.4533542734618266e-05
0.752,12,0,752000000,,"['wheel_right_joint', 'wheel_left_joint']",8.855919841899151e-06,1.3821177280881614e-05
0.789,13,0,784000000,,"['wheel_right_joint', 'wheel_left_joint']",9.477935295265638e-06,1.3133120135400134e-05
0.8180000000000001,14,0,817000000,,"['wheel_right_joint', 'wheel_left_joint']",1.0109812807357343e-05,1.244906797825962e-05
0.8520000000000001,15,0,852000000,,"['wheel_right_joint', 'wheel_left_joint']",1.0769301606927684e-05,1.1749238805869311e-05
0.885,16,0,885000000,,"['wheel_right_joint', 'wheel_left_joint']",1.1416209399151e-05,1.1075697007534302e-05
0.917,17,0,917000000,,"['wheel_right_joint', 'wheel_left_joint']",1.2068739737358669e-05,1.0408878172718516e-05
0.9520000000000001,18,0,951000000,,"['wheel_right_joint', 'wheel_left_joint']",1.2746011472941632e-05,9.730346202552198e-06
0.9850000000000001,19,0,985000000,,"['wheel_right_joint', 'wheel_left_joint']",1.340746827782624e-05,9.081827967882816e-06
1.018,20,1,18000000,,"['wheel_right_joint', 'wheel_left_joint']",1.4072392342079354e-05,8.445523916655873e-06
1.052,21,1,52000000,,"['wheel_right_joint', 'wheel_left_joint']",1.4760596675600368e-05,7.80587044868497e-06
1.085,22,1,85000000,,"['wheel_right_joint', 'wheel_left_joint']",1.543119976155083e-05,7.2045352039751265e-06
1.118,23,1,118000000,,"['wheel_right_joint', 'wheel_left_joint']",1.610407510721501e-05,6.627701540473652e-06
