Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,name,position_0,position_1
0.28300000000000003,3,0,283000000,,"['wheel_right_joint', 'wheel_left_joint']",7.018047316620368e-07,-1.9062242406775454e-06
0.316,4,0,316000000,,"['wheel_right_joint', 'wheel_left_joint']",-3.5702089018485594e-06,-6.827393602470977e-06
0.34900000000000003,5,0,348000000,,"['wheel_right_joint', 'wheel_left_joint']",-6.982083721851495e-06,-1.163329222197973e-05
0.383,6,0,383000000,,"['wheel_right_joint', 'wheel_left_joint']",-4.248606855661308e-06,4.462593699017248e-06
0.41600000000000004,7,0,416000000,,"['wheel_right_joint', 'wheel_left_joint']",5.972932876296966e-06,1.648898501294127e-05
0.449,8,0,449000000,,"['wheel_right_joint', 'wheel_left_joint']",6.542881083149155e-06,1.657903093033042e-05
0.48300000000000004,9,0,483000000,,"['wheel_right_joint', 'wheel_left_joint']",7.066447938797182e-06,1.591677282064552e-05
0.516,10,0,516000000,,"['wheel_right_joint', 'wheel_left_joint']",7.634554135549365e-06,1.5227021556540876e-05
0.549,11,0,549000000,,"['wheel_right_joint', 'wheel_left_joint']",8.227866578280896e-06,1.4533542728401017e-05
0.5830000000000001,12,0,583000000,,"['wheel_right_joint', 'wheel_left_joint']",8.8559198481164e-06,1.3821177283546149e-05
0.616,13,0,616000000,,"['wheel_right_joint', 'wheel_left_joint']",9.477935301482887e-06,1.3133120164710022e-05
0.649,14,0,649000000,,"['wheel_right_joint', 'wheel_left_joint']",1.01098128091337e-05,1.2449067998687724e-05
0.683,15,0,683000000,,"['wheel_right_joint', 'wheel_left_joint']",1.0769301594493186e-05,1.1749238819191987e-05
0.7160000000000001,16,0,716000000,,"['wheel_right_joint', 'wheel_left_joint']",1.1416209358294793e-05,1.1075697038620547e-05
0.749,17,0,749000000,,"['wheel_right_joint', 'wheel_left_joint']",1.20687396867325e-05,1.0408878200252047e-05
0.784,18,0,783000000,,"['wheel_right_joint', 'wheel_left_joint']",1.2746011413433678e-05,9.730346231862086e-06
0.8160000000000001,19,0,815000000,,"['wheel_right_joint', 'wheel_left_joint']",1.3407468214765572e-05,9.081827970547351e-06
0.8490000000000001,20,0,849000000,,"['wheel_right_joint', 'wheel_left_joint']",1.4072392284347757e-05,8.445523908662267e-06
0.883,21,0,883000000,,"['wheel_right_joint', 'wheel_left_joint']",1.476059660721063e-05,7.805870438915008e-06
0.916,22,0,916000000,,"['wheel_right_joint', 'wheel_left_joint']",1.5431199679838414e-05,7.204535201310591e-06
0.9490000000000001,23,0,949000000,,"['wheel_right_joint', 'wheel_left_joint']",1.6104075025502596e-05,6.627701532480046e-06
0.9830000000000001,24,0,983000000,,"['wheel_right_joint', 'wheel_left_joint']",1.67994284501205e-05,6.066402695736883e-06
1.016,25,1,16000000,,"['wheel_right_joint', 'wheel_left_joint']",1.7476119465342776e-05,5.56317538347173e-06
1.049,26,1,49000000,,"['wheel_right_joint', 'wheel_left_joint']",1.815437377139517e-05,5.113125254752049e-06
1.083,27,1,83000000,,"['wheel_right_joint', 'wheel_left_joint']",1.885463791140296e-05,4.721137711882761e-06
1.116,28,1,115000000,,"['wheel_right_joint', 'wheel_left_joint']",1.9535570753959064e-05,4.428427876845831e-06
1.149,29,1,149000000,,"['wheel_right_joint', 'wheel_left_joint']",2.0217622187956863e-05,4.240320105708406e-06
1.183,30,1,182000000,,"['wheel_right_joint', 'wheel_left_joint']",2.0921396172823847e-05,4.170834957406555e-06
1.216,31,1,216000000,,"['wheel_right_joint', 'wheel_left_joint']",2.160539611750778e-05,-4.229895910867754e-06
1.249,32,1,249000000,,"['wheel_right_joint', 'wheel_left_joint']",2.2290222698728712e-05,-4.408597883198695e-06
1.283,33,1,283000000,,"['wheel_right_joint', 'wheel_left_joint']",2.29965881528571e-05,-4.703392960436759e-06
